clinical_event,review_budget,ranking_method,mean_recall_at_k,mean_precision_at_k,mean_lift_vs_random,mean_residual_rate,mean_dangerous_errors_per_100_reviewed,mean_number_needed_to_review,total_captured,total_dangerous_errors,total_residual
large_undergrading,0.1,entropy_only,0.2827,0.1136,2.8265,0.0316,11.3636,9.491,75,263,188
large_undergrading,0.1,margin_only,0.2325,0.0939,2.3246,0.0338,9.3939,12.7315,62,263,201
large_undergrading,0.1,ophagent_combined,0.3901,0.1576,3.9006,0.0268,15.7576,6.7695,104,263,159
large_undergrading,0.1,uncertainty_rank_fusion,0.2646,0.1061,2.6458,0.0325,10.6061,10.2793,70,263,193
large_undergrading,0.2,confidence_only,0.4638,0.0932,2.3192,0.0265,9.3182,11.1916,123,263,140
large_undergrading,0.2,entropy_only,0.4915,0.0985,2.4574,0.0252,9.8485,10.5761,130,263,133
large_undergrading,0.2,margin_only,0.4609,0.0924,2.3045,0.0267,9.2424,11.2323,122,263,141
large_undergrading,0.2,ophagent_combined,0.5871,0.1182,2.9353,0.0203,11.8182,8.8716,156,263,107
large_undergrading,0.2,uncertainty_rank_fusion,0.4593,0.0924,2.2967,0.0267,9.2424,11.3585,122,263,141
large_undergrading,0.3,confidence_only,0.664,0.0889,2.2134,0.0188,8.8889,11.7221,176,263,87
large_undergrading,0.3,entropy_only,0.6637,0.0884,2.2122,0.019,8.8384,11.6872,175,263,88
large_undergrading,0.3,margin_only,0.6593,0.0884,2.1977,0.019,8.8384,11.8178,175,263,88
large_undergrading,0.3,ophagent_combined,0.7216,0.097,2.4053,0.0154,9.697,10.8864,192,263,71
large_undergrading,0.3,uncertainty_rank_fusion,0.6648,0.0889,2.2159,0.0188,8.8889,11.6899,176,263,87
vision_threatening_dr_miss,0.05,confidence_only,0.156,0.1848,3.119,0.0526,18.4848,6.19,61,391,330
vision_threatening_dr_miss,0.05,entropy_only,0.107,0.1273,2.1401,0.0557,12.7273,9.7487,42,391,349
vision_threatening_dr_miss,0.05,margin_only,0.1252,0.1485,2.5035,0.0545,14.8485,7.1845,49,391,342
vision_threatening_dr_miss,0.05,ophagent_combined,0.2616,0.3061,5.232,0.0463,30.6061,3.3679,101,391,290
vision_threatening_dr_miss,0.05,uncertainty_rank_fusion,0.1547,0.1818,3.0946,0.0528,18.1818,6.3042,60,391,331
vision_threatening_dr_miss,0.1,confidence_only,0.2461,0.1455,2.4609,0.0497,14.5455,7.8518,96,391,295
vision_threatening_dr_miss,0.1,entropy_only,0.2327,0.1364,2.3268,0.0507,13.6364,7.8466,90,391,301
vision_threatening_dr_miss,0.1,margin_only,0.2421,0.1439,2.4207,0.0498,14.3939,7.7543,95,391,296
vision_threatening_dr_miss,0.1,ophagent_combined,0.4047,0.2394,4.047,0.0392,23.9394,4.3008,158,391,233
vision_threatening_dr_miss,0.1,uncertainty_rank_fusion,0.2405,0.1409,2.4051,0.0502,14.0909,7.9056,93,391,298
vision_threatening_dr_miss,0.2,confidence_only,0.4629,0.1371,2.3145,0.0398,13.7121,7.4931,181,391,210
vision_threatening_dr_miss,0.2,entropy_only,0.451,0.1326,2.255,0.0409,13.2576,7.7698,175,391,216
vision_threatening_dr_miss,0.2,margin_only,0.4678,0.1386,2.3388,0.0394,13.8636,7.4232,183,391,208
vision_threatening_dr_miss,0.2,ophagent_combined,0.6142,0.1826,3.071,0.0284,18.2576,5.7093,241,391,150
vision_threatening_dr_miss,0.2,uncertainty_rank_fusion,0.4615,0.1364,2.3074,0.04,13.6364,7.5112,180,391,211
vision_threatening_dr_miss,0.3,confidence_only,0.6598,0.1303,2.1993,0.0288,13.0303,7.8406,258,391,133
vision_threatening_dr_miss,0.3,entropy_only,0.6432,0.1268,2.1441,0.0303,12.6768,8.18,251,391,140
vision_threatening_dr_miss,0.3,margin_only,0.6655,0.1318,2.2183,0.0281,13.1818,7.7933,261,391,130
vision_threatening_dr_miss,0.3,ophagent_combined,0.7458,0.148,2.4861,0.0212,14.798,7.0638,293,391,98
vision_threatening_dr_miss,0.3,uncertainty_rank_fusion,0.6545,0.1293,2.1815,0.0292,12.9293,7.8951,256,391,135
