policy,expert,expert_call_rate,expert_call_n,expert_calls_per_deferred_image,expert_call_equivalent,relative_cost_vs_dense,accuracy,macro_f1,qwk,gain_over_green,gain_over_best_single,gain_over_dense,random_accuracy_mean,random_accuracy_p975,gain_over_random_mean,above_random_975,gain_per_100_expert_calls
low_margin,retfound_mae,0.4,440,1,440,0.2,0.8118181818181818,0.6474237958744526,0.8741034225675486,0.032727272727272716,-0.0018181818181818299,-0.01909090909090916,0.7890331818181818,0.8018181818181818,0.022784999999999944,True,0.007438016528925617
high_entropy,retfound_mae,0.5,550,1,550,0.25,0.8118181818181818,0.6334034811965233,0.8721419755080307,0.032727272727272716,-0.0018181818181818299,-0.01909090909090916,0.7915177272727273,0.8045454545454546,0.020300454545454483,True,0.005950413223140494
high_entropy,dense_average,0.2,220,2,440,0.2,0.8109090909090909,0.6761405693991883,0.881302990199715,0.03181818181818186,-0.0027272727272726893,-0.020000000000000018,0.7894113636363636,0.7972727272727272,0.021497727272727363,True,0.007231404958677695
high_entropy,both_average,0.2,220,2,440,0.2,0.8090909090909091,0.6715408187278079,0.8832926063700084,0.030000000000000027,-0.004545454545454519,-0.021818181818181848,0.7908004545454547,0.8,0.018290454545454415,True,0.006818181818181824
low_confidence,retfound_mae,0.2,220,1,220,0.1,0.8081818181818182,0.6698476531715706,0.8797546564740373,0.029090909090909167,-0.005454545454545379,-0.022727272727272707,0.78425,0.7945454545454546,0.02393181818181822,True,0.013223140495867805
low_margin,retfound_mae,0.2,220,1,220,0.1,0.8081818181818182,0.6691926898369276,0.8780537854627499,0.029090909090909167,-0.005454545454545379,-0.022727272727272707,0.78425,0.7945454545454546,0.02393181818181822,True,0.013223140495867805
high_entropy,convnext,0.2,220,1,220,0.1,0.8036363636363636,0.6609129317257941,0.8687591457729541,0.024545454545454537,-0.010000000000000009,-0.027272727272727337,0.7861549999999999,0.7963636363636364,0.017481363636363656,True,0.011157024793388426
high_entropy,retfound_mae,0.2,220,1,220,0.1,0.8009090909090909,0.6659766946491926,0.8782543035051817,0.021818181818181848,-0.012727272727272698,-0.030000000000000027,0.78425,0.7945454545454546,0.0166590909090909,True,0.00991735537190084
low_confidence,dense_average,0.1,110,2,220,0.1,0.8,0.6631195291890636,0.8746181168387409,0.020909090909090988,-0.013636363636363558,-0.030909090909090886,0.7842918181818181,0.79,0.0157081818181819,True,0.009504132231404994
low_confidence,both_average,0.1,110,2,220,0.1,0.7990909090909091,0.6615639864292046,0.8752864402858505,0.020000000000000018,-0.014545454545454528,-0.03181818181818186,0.7848640909090909,0.7918181818181819,0.014226818181818146,True,0.0090909090909091
high_entropy,retfound_mae,0.1,110,1,110,0.05,0.7981818181818182,0.6706299334145606,0.8789799584298871,0.01909090909090916,-0.015454545454545388,-0.032727272727272716,0.7815922727272726,0.7890909090909091,0.016589545454545607,True,0.01735537190082651
high_entropy,dense_average,0.1,110,2,220,0.1,0.7981818181818182,0.664912705362315,0.8756425429686809,0.01909090909090916,-0.015454545454545388,-0.032727272727272716,0.7842918181818181,0.79,0.013890000000000069,True,0.008677685950413254
high_entropy,both_average,0.1,110,2,220,0.1,0.7972727272727272,0.6627445198782969,0.8771589819396226,0.018181818181818188,-0.016363636363636358,-0.033636363636363686,0.7848640909090909,0.7918181818181819,0.012408636363636316,True,0.008264462809917359
low_confidence,retfound_mae,0.1,110,1,110,0.05,0.7963636363636364,0.661355307098224,0.8781055080871205,0.01727272727272733,-0.017272727272727217,-0.034545454545454546,0.7815922727272726,0.7890909090909091,0.014771363636363777,True,0.015702479338843025
low_margin,dense_average,0.1,110,2,220,0.1,0.7963636363636364,0.6559878858356274,0.8719324162645832,0.01727272727272733,-0.017272727272727217,-0.034545454545454546,0.7842918181818181,0.79,0.012071818181818239,True,0.007851239669421512
low_margin,both_average,0.1,110,2,220,0.1,0.7963636363636364,0.6560000978473302,0.8725169849435472,0.01727272727272733,-0.017272727272727217,-0.034545454545454546,0.7848640909090909,0.7918181818181819,0.011499545454545457,True,0.007851239669421512
low_confidence,convnext,0.1,110,1,110,0.05,0.7936363636363636,0.6544572116661639,0.8658109595233983,0.014545454545454528,-0.020000000000000018,-0.037272727272727346,0.7826181818181819,0.79,0.011018181818181705,True,0.013223140495867753
high_entropy,convnext,0.1,110,1,110,0.05,0.7936363636363636,0.6558722154567804,0.8674852713304652,0.014545454545454528,-0.020000000000000018,-0.037272727272727346,0.7826181818181819,0.79,0.011018181818181705,True,0.013223140495867753
low_margin,convnext,0.1,110,1,110,0.05,0.7918181818181819,0.6494812356238835,0.8639125089378952,0.01272727272727281,-0.021818181818181737,-0.039090909090909065,0.7826181818181819,0.79,0.009199999999999986,True,0.011570247933884371
low_margin,retfound_mae,0.1,110,1,110,0.05,0.7872727272727272,0.6403749220465226,0.8692892347329677,0.008181818181818179,-0.026363636363636367,-0.043636363636363695,0.7815922727272726,0.7890909090909091,0.005680454545454627,False,0.007438016528925617
