policy,target,defer_rate,n_deferred,expected_cost_ms,accuracy,macro_f1,qwk,n_error,random_std_acc,gap_to_dense_acc,gain_over_green_acc,gain_over_best_single_acc
margin,convnext,0.6,660,5.357568585895933,0.8209090909090909,0.6664817060160607,0.8667922169189126,197.0,,0.010000000000000009,0.041818181818181865,0.0072727272727273196
entropy,convnext,0.6,660,5.357568585895933,0.8190909090909091,0.664786382761356,0.8661218759460739,199.0,,0.011818181818181839,0.040000000000000036,0.00545454545454549
random_mean,convnext,0.6,660,5.357568585895933,0.79995,,,,0.0054683140617274315,0.03095909090909088,0.020859090909090994,-0.013686363636363552
oracle_upper,convnext,0.6,660,5.357568585895933,0.8336363636363636,0.6867046572649277,0.8808505752480068,183.0,,-0.0027272727272726893,0.054545454545454564,0.020000000000000018
confidence,convnext,0.8,880,6.518958884407766,0.8145454545454546,0.6530848359099561,0.8620434404303576,204.0,,0.016363636363636358,0.035454545454545516,0.0009090909090909705
margin,convnext,0.8,880,6.518958884407766,0.8145454545454546,0.6530848359099561,0.8620434404303576,204.0,,0.016363636363636358,0.035454545454545516,0.0009090909090909705
entropy,convnext,0.8,880,6.518958884407766,0.8145454545454546,0.6530848359099561,0.8620434404303576,204.0,,0.016363636363636358,0.035454545454545516,0.0009090909090909705
random_mean,convnext,0.8,880,6.518958884407766,0.8070727272727273,,,,0.0047256640619542925,0.023836363636363656,0.02798181818181822,-0.006563636363636327
oracle_upper,convnext,0.8,880,6.518958884407766,0.8272727272727273,0.6726205116855488,0.8693229706238697,190.0,,0.0036363636363636598,0.048181818181818215,0.013636363636363669
confidence,convnext,1.0,1100,7.680349182919599,0.8136363636363636,0.6496387745585863,0.86153550730867,205.0,,0.01727272727272733,0.034545454545454546,0.0
margin,convnext,1.0,1100,7.680349182919599,0.8136363636363636,0.6496387745585863,0.86153550730867,205.0,,0.01727272727272733,0.034545454545454546,0.0
entropy,convnext,1.0,1100,7.680349182919599,0.8136363636363636,0.6496387745585863,0.86153550730867,205.0,,0.01727272727272733,0.034545454545454546,0.0
random_mean,convnext,1.0,1100,7.680349182919599,0.8136363636363637,,,,1.1102230246251565e-16,0.017272727272727217,0.03454545454545466,1.1102230246251565e-16
oracle_upper,convnext,1.0,1100,7.680349182919599,0.8136363636363636,0.6496387745585863,0.86153550730867,205.0,,0.01727272727272733,0.034545454545454546,0.0
confidence,retfound,0.0,0,1.8733976903604344,0.7790909090909091,0.6394309461388187,0.8653377490177998,243.0,,0.051818181818181874,0.0,-0.034545454545454546
margin,retfound,0.0,0,1.8733976903604344,0.7790909090909091,0.6394309461388187,0.8653377490177998,243.0,,0.051818181818181874,0.0,-0.034545454545454546
entropy,retfound,0.0,0,1.8733976903604344,0.7790909090909091,0.6394309461388187,0.8653377490177998,243.0,,0.051818181818181874,0.0,-0.034545454545454546
random_mean,retfound,0.0,0,1.8733976903604344,0.7790909090909091,,,,0.0,0.051818181818181874,0.0,-0.034545454545454546
oracle_upper,retfound,0.0,0,1.8733976903604344,0.7790909090909091,0.6394309461388187,0.8653377490177998,243.0,,0.051818181818181874,0.0,-0.034545454545454546
confidence,retfound,0.05,55,2.277186213177629,0.7881818181818182,0.6514228751956792,0.875569075695769,233.0,,0.042727272727272725,0.00909090909090915,-0.025454545454545396
margin,retfound,0.05,55,2.277186213177629,0.7872727272727272,0.6489128285142522,0.8719746326950714,234.0,,0.043636363636363695,0.008181818181818179,-0.026363636363636367
entropy,retfound,0.05,55,2.277186213177629,0.7881818181818182,0.6561317701738287,0.8741290266257553,233.0,,0.042727272727272725,0.00909090909090915,-0.025454545454545396
random_mean,retfound,0.05,55,2.277186213177629,0.7803727272727272,,,,0.0029502626301359794,0.05053636363636371,0.0012818181818181618,-0.033263636363636384
oracle_upper,retfound,0.05,55,2.277186213177629,0.8290909090909091,0.7060853585710058,0.893944812235989,188.0,,0.0018181818181818299,0.050000000000000044,0.015454545454545499
confidence,retfound,0.1,110,2.6809747359948233,0.7963636363636364,0.661355307098224,0.8781055080871205,224.0,,0.034545454545454546,0.01727272727272733,-0.017272727272727217
margin,retfound,0.1,110,2.6809747359948233,0.7872727272727272,0.6403749220465226,0.8692892347329677,234.0,,0.043636363636363695,0.008181818181818179,-0.026363636363636367
entropy,retfound,0.1,110,2.6809747359948233,0.7981818181818182,0.6706299334145606,0.8789799584298871,222.0,,0.032727272727272716,0.01909090909090916,-0.015454545454545388
