dataset,backbone,target,method,budget,n,top_k,total_event,captured_event,captured_event_ci95_low,captured_event_ci95_high,event_recall,event_recall_ci95_low,event_recall_ci95_high,residual_event_count,residual_event_count_ci95_low,residual_event_count_ci95_high,residual_event_rate,residual_event_rate_ci95_low,residual_event_rate_ci95_high,enrichment_ratio,enrichment_ratio_ci95_low,enrichment_ratio_ci95_high
IDRiD_data,swin_tiny,vtdr_miss,low_margin_only,0.5,103,52,29,15.0,,,0.5172413793103449,,,14.0,,,0.27450980392156865,,,1.0245358090185677,,
IDRiD_data,swin_tiny,vtdr_miss,pred_grade_ascending,0.5,103,52,29,3.0,,,0.10344827586206896,,,26.0,,,0.5098039215686274,,,0.20490716180371354,,
IDRiD_data,swin_tiny,vtdr_miss,random_gate_only,0.5,103,52,29,15.241,11.0,19.0,0.525551724137931,0.3793103448275862,0.6551724137931034,13.759,10.0,18.0,0.26978431372549017,0.19607843137254902,0.35294117647058826,1.0409966843501326,0.7513262599469497,1.2977453580901857
IDRiD_data,vit_b_imagenet,vtdr_miss,entropy_only,0.05,103,6,26,4.0,,,0.15384615384615385,,,22.0,,,0.2268041237113402,,,2.641025641025641,,
IDRiD_data,vit_b_imagenet,vtdr_miss,expected_gap_only,0.05,103,6,26,6.0,,,0.23076923076923078,,,20.0,,,0.20618556701030927,,,3.9615384615384617,,
IDRiD_data,vit_b_imagenet,vtdr_miss,gated_severe_prob_mass_only,0.05,103,6,26,6.0,,,0.23076923076923078,,,20.0,,,0.20618556701030927,,,3.9615384615384617,,
IDRiD_data,vit_b_imagenet,vtdr_miss,low_confidence_only,0.05,103,6,26,3.0,,,0.11538461538461539,,,23.0,,,0.23711340206185566,,,1.9807692307692308,,
IDRiD_data,vit_b_imagenet,vtdr_miss,low_margin_only,0.05,103,6,26,3.0,,,0.11538461538461539,,,23.0,,,0.23711340206185566,,,1.9807692307692308,,
IDRiD_data,vit_b_imagenet,vtdr_miss,pred_grade_ascending,0.05,103,6,26,0.0,,,0.0,,,26.0,,,0.26804123711340205,,,0.0,,
IDRiD_data,vit_b_imagenet,vtdr_miss,random_gate_only,0.05,103,6,26,1.6275,0.0,4.0,0.06259615384615384,0.0,0.15384615384615385,24.3725,22.0,26.0,0.25126288659793816,0.2268041237113402,0.26804123711340205,1.074567307692308,0.0,2.641025641025641
IDRiD_data,vit_b_imagenet,vtdr_miss,entropy_only,0.1,103,11,26,6.0,,,0.23076923076923078,,,20.0,,,0.21739130434782608,,,2.160839160839161,,
IDRiD_data,vit_b_imagenet,vtdr_miss,expected_gap_only,0.1,103,11,26,8.0,,,0.3076923076923077,,,18.0,,,0.1956521739130435,,,2.8811188811188813,,
IDRiD_data,vit_b_imagenet,vtdr_miss,gated_severe_prob_mass_only,0.1,103,11,26,7.0,,,0.2692307692307692,,,19.0,,,0.20652173913043478,,,2.520979020979021,,
