dataset,backbone,target,method,budget,n_random,n,top_k,eligible_count,total_event,event_recall_mean,event_recall_ci95_low,event_recall_ci95_high,captured_event_mean,captured_event_ci95_low,captured_event_ci95_high,residual_event_count_mean,residual_event_count_ci95_low,residual_event_count_ci95_high,residual_event_rate_mean,residual_event_rate_ci95_low,residual_event_rate_ci95_high,enrichment_ratio_mean,enrichment_ratio_ci95_low,enrichment_ratio_ci95_high,event_recall_expected,captured_event_expected,residual_event_count_expected,residual_event_rate_expected,enrichment_ratio_expected
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,random_gate_only,0.4,2000,103,42,93,25,0.4524000000000001,0.28,0.64,11.31,7.0,16.0,13.69,9.0,18.0,0.2244262295081967,0.14754098360655737,0.29508196721311475,1.109457142857143,0.6866666666666666,1.5695238095238093,0.4516129032258065,11.290322580645162,13.709677419354838,0.22474881015335801,1.1075268817204302
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,random_gate_only,0.5,2000,103,52,93,25,0.55858,0.4,0.72,13.9645,10.0,18.0,11.0355,7.0,15.0,0.21638235294117647,0.13725490196078433,0.29411764705882354,1.106418076923077,0.7923076923076924,1.426153846153846,0.5591397849462365,13.978494623655914,11.021505376344086,0.2161079485557664,1.10752688172043
IDRiD_data,swin_tiny,vtdr_miss,random_gate_only,0.05,2000,103,6,99,29,0.06191379310344827,0.0,0.13793103448275862,1.7955,0.0,4.0,27.2045,25.0,29.0,0.28045876288659793,0.25773195876288657,0.29896907216494845,1.0628534482758623,0.0,2.367816091954023,0.06060606060606061,1.7575757575757576,27.242424242424242,0.2808497344579819,1.0404040404040404
IDRiD_data,swin_tiny,vtdr_miss,random_gate_only,0.1,2000,103,11,99,29,0.11129310344827585,0.034482758620689655,0.20689655172413793,3.2275,1.0,6.0,25.7725,23.0,28.0,0.28013586956521735,0.25,0.30434782608695654,1.0421081504702192,0.322884012539185,1.9373040752351096,0.11111111111111112,3.2222222222222223,25.77777777777778,0.28019323671497587,1.0404040404040404
IDRiD_data,swin_tiny,vtdr_miss,random_gate_only,0.2,2000,103,21,99,29,0.21110344827586205,0.10344827586206896,0.3448275862068966,6.122,3.0,10.0,22.878,19.0,26.0,0.279,0.23170731707317074,0.3170731707317073,1.0354121510673235,0.5073891625615764,1.6912972085385878,0.21212121212121213,6.151515151515151,22.848484848484848,0.278640059127864,1.0404040404040404
IDRiD_data,swin_tiny,vtdr_miss,random_gate_only,0.3,2000,103,31,99,29,0.31377586206896557,0.1724137931034483,0.4482758620689655,9.0995,5.0,13.0,19.9005,16.0,24.0,0.2763958333333334,0.2222222222222222,0.3333333333333333,1.0425456062291436,0.5728587319243604,1.4894327030033372,0.31313131313131315,9.080808080808081,19.919191919191917,0.27665544332210995,1.0404040404040404
IDRiD_data,swin_tiny,vtdr_miss,random_gate_only,0.4,2000,103,42,99,29,0.4243965517241379,0.27586206896551724,0.5862068965517241,12.3075,8.0,17.0,16.6925,12.0,21.0,0.2736475409836065,0.19672131147540983,0.3442622950819672,1.0407820197044335,0.6765188834154351,1.4376026272577997,0.42424242424242425,12.303030303030303,16.696969696969695,0.2737208147044212,1.0404040404040404
IDRiD_data,swin_tiny,vtdr_miss,random_gate_only,0.5,2000,103,52,99,29,0.525551724137931,0.3793103448275862,0.6551724137931034,15.241,11.0,19.0,13.759,10.0,18.0,0.26978431372549017,0.19607843137254902,0.35294117647058826,1.0409966843501326,0.7513262599469497,1.2977453580901857,0.5252525252525252,15.232323232323232,13.767676767676768,0.2699544464250347,1.0404040404040404
IDRiD_data,vit_b_imagenet,vtdr_miss,random_gate_only,0.05,2000,103,6,96,26,0.06259615384615384,0.0,0.15384615384615385,1.6275,0.0,4.0,24.3725,22.0,26.0,0.25126288659793816,0.2268041237113402,0.26804123711340205,1.074567307692308,0.0,2.641025641025641,0.0625,1.625,24.375,0.25128865979381443,1.0729166666666665
IDRiD_data,vit_b_imagenet,vtdr_miss,random_gate_only,0.1,2000,103,11,96,26,0.11317307692307692,0.038461538461538464,0.23076923076923078,2.9425,1.0,6.0,23.0575,20.0,25.0,0.250625,0.21739130434782608,0.2717391304347826,1.059711538461538,0.36013986013986016,2.160839160839161,0.11458333333333333,2.9791666666666665,23.020833333333332,0.2502264492753623,1.0729166666666665
IDRiD_data,vit_b_imagenet,vtdr_miss,random_gate_only,0.2,2000,103,21,96,26,0.22026923076923077,0.07692307692307693,0.34615384615384615,5.727,2.0,9.0,20.273,17.0,24.0,0.2472317073170732,0.2073170731707317,0.2926829268292683,1.080368131868132,0.3772893772893773,1.6978021978021978,0.21875,5.6875,20.3125,0.24771341463414634,1.0729166666666665
IDRiD_data,vit_b_imagenet,vtdr_miss,random_gate_only,0.3,2000,103,31,96,26,0.32405769230769227,0.19134615384615392,0.4624999999999948,8.4255,4.975000000000001,12.024999999999864,17.5745,13.975000000000001,21.024999999999864,0.24409027777777778,0.19409722222222225,0.292013888888887,1.0767078163771713,0.6357630272952856,1.5366935483870794,0.3229166666666667,8.395833333333334,17.604166666666664,0.24450231481481477,1.0729166666666667
IDRiD_data,vit_b_imagenet,vtdr_miss,random_gate_only,0.4,2000,103,42,96,26,0.43803846153846154,0.2692307692307692,0.6153846153846154,11.389,7.0,16.0,14.611,10.0,19.0,0.23952459016393443,0.16393442622950818,0.3114754098360656,1.0742371794871794,0.6602564102564102,1.5091575091575091,0.4375,11.375,14.625,0.23975409836065573,1.0729166666666665
IDRiD_data,vit_b_imagenet,vtdr_miss,random_gate_only,0.5,2000,103,52,96,26,0.5443653846153846,0.38461538461538464,0.6923076923076923,14.1535,10.0,18.0,11.8465,8.0,16.0,0.2322843137254902,0.1568627450980392,0.3137254901960784,1.0782622041420118,0.7618343195266273,1.371301775147929,0.5416666666666667,14.083333333333334,11.916666666666666,0.23366013071895422,1.0729166666666667
IDRiD_data,vit_b_official_like,vtdr_miss,random_gate_only,0.05,2000,103,6,93,24,0.06664583333333333,0.0,0.16666666666666666,1.5995,0.0,4.0,22.4005,20.0,24.0,0.23093298969072168,0.20618556701030927,0.24742268041237114,1.1440868055555558,0.0,2.8611111111111107,0.06451612903225806,1.5483870967741935,22.451612903225808,0.23145992683737945,1.10752688172043
IDRiD_data,vit_b_official_like,vtdr_miss,random_gate_only,0.1,2000,103,11,93,24,0.11845833333333335,0.0,0.25,2.843,0.0,6.0,21.157,18.0,24.0,0.22996739130434782,0.1956521739130435,0.2608695652173913,1.1092007575757574,0.0,2.340909090909091,0.11827956989247312,2.838709677419355,21.161290322580644,0.2300140252454418,1.10752688172043
IDRiD_data,vit_b_official_like,vtdr_miss,random_gate_only,0.2,2000,103,21,93,24,0.22597916666666665,0.08333333333333333,0.375,5.4235,2.0,9.0,18.5765,15.0,22.0,0.22654268292682933,0.18292682926829268,0.2682926829268293,1.1083740079365079,0.4087301587301587,1.8392857142857142,0.22580645161290322,5.419354838709677,18.580645161290324,0.22659323367427225,1.10752688172043
IDRiD_data,vit_b_official_like,vtdr_miss,random_gate_only,0.3,2000,103,31,93,24,0.3350833333333333,0.16666666666666666,0.5,8.042,4.0,12.0,15.958,12.0,20.0,0.22163888888888889,0.16666666666666666,0.2777777777777778,1.1133413978494622,0.553763440860215,1.661290322580645,0.3333333333333333,8.0,16.0,0.2222222222222222,1.10752688172043
IDRiD_data,vit_b_official_like,vtdr_miss,random_gate_only,0.4,2000,103,42,93,24,0.4550625,0.2916666666666667,0.625,10.9215,7.0,15.0,13.0785,9.0,17.0,0.2144016393442623,0.14754098360655737,0.2786885245901639,1.115986607142857,0.7152777777777777,1.5327380952380951,0.45161290322580644,10.838709677419354,13.161290322580646,0.2157588577472237,1.10752688172043
IDRiD_data,vit_b_official_like,vtdr_miss,random_gate_only,0.5,2000,103,52,93,24,0.5582291666666667,0.375,0.7083333333333334,13.3975,9.0,17.0,10.6025,7.0,15.0,0.20789215686274512,0.13725490196078433,0.29411764705882354,1.105723157051282,0.7427884615384615,1.4030448717948718,0.5591397849462366,13.419354838709678,10.580645161290322,0.20746363061353573,1.10752688172043
IDRiD_data,vit_l_official_like,vtdr_miss,random_gate_only,0.05,2000,103,6,79,17,0.07370588235294118,0.0,0.17647058823529413,1.253,0.0,3.0,15.747,14.0,17.0,0.162340206185567,0.14432989690721648,0.17525773195876287,1.2652843137254899,0.0,3.0294117647058822,0.0759493670886076,1.2911392405063291,15.708860759493671,0.16194701813911,1.3037974683544304
IDRiD_data,vit_l_official_like,vtdr_miss,random_gate_only,0.1,2000,103,11,79,17,0.13997058823529412,0.0,0.29411764705882354,2.3795,0.0,5.0,14.6205,12.0,17.0,0.15891847826086955,0.13043478260869565,0.18478260869565216,1.310633689839572,0.0,2.7540106951871657,0.13924050632911394,2.367088607594937,14.632911392405063,0.15905338470005503,1.3037974683544304
