dataset,backbone,event,method,n,accuracy,event_count,event_rate,auroc_error,aurc,augrc,partial_augrc_70_90,budget,top_k,total_event,top20_event_recall,top20_captured_event_count,top20_residual_event_count,top20_residual_event_rate
IDRiD_data,vit_b_official_like,vtdr_miss,negative_margin,103,0.36893203883495146,24,0.23300970873786409,0.4040084388185654,0.2790628383437539,0.1336600999151664,0.19926477519087565,0.2,21,24,0.125,3,21,0.20388349514563106
IDRiD_data,vit_b_official_like,vtdr_miss,entropy,103,0.36893203883495146,24,0.23300970873786409,0.3829113924050633,0.28159250454547174,0.13743048355170134,0.20463757187293805,0.2,21,24,0.08333333333333333,2,22,0.21359223300970873
IDRiD_data,vit_b_official_like,vtdr_miss,expected_gap,103,0.36893203883495146,24,0.23300970873786409,0.5089662447257384,0.18648194135030577,0.11490244132340467,0.2032213215194646,0.2,21,24,0.08333333333333333,2,22,0.21359223300970873
IDRiD_data,vit_b_official_like,vtdr_miss,severe_prob_mass,103,0.36893203883495146,24,0.23300970873786409,0.6761603375527426,0.12554082297579558,0.08502215100386465,0.17654821378075222,0.2,21,24,0.2916666666666667,7,17,0.1650485436893204
IDRiD_data,vit_b_official_like,vtdr_miss,gated_severe_prob_mass_only,103,0.36893203883495146,24,0.23300970873786409,0.8011603375527426,0.08603358269282245,0.06268262795739467,0.13179611650485437,0.2,21,24,0.375,9,15,0.14563106796116504
IDRiD_data,vit_l_official_like,general_error,confidence_only_1msp,103,0.34951456310679613,67,0.6504854368932039,0.5157545605306799,0.6193214332671751,0.3216608539918936,0.4943185031576964,0.2,21,67,0.2537313432835821,17,50,0.4854368932038835
IDRiD_data,vit_l_official_like,general_error,negative_margin,103,0.34951456310679613,67,0.6504854368932039,0.5091210613598673,0.6130574263815832,0.3231690074465076,0.5076067489867094,0.2,21,67,0.22388059701492538,15,52,0.5048543689320388
IDRiD_data,vit_l_official_like,general_error,entropy,103,0.34951456310679613,67,0.6504854368932039,0.49502487562189057,0.6314977644774196,0.3263738335375624,0.49158261853143564,0.2,21,67,0.2537313432835821,17,50,0.4854368932038835
IDRiD_data,vit_l_official_like,general_error,expected_gap,103,0.34951456310679613,67,0.6504854368932039,0.4291044776119403,0.7017513892356442,0.34136110849278906,0.5468941464794043,0.2,21,67,0.16417910447761194,11,56,0.5436893203883495
IDRiD_data,vit_l_official_like,general_error,severe_prob_mass,103,0.34951456310679613,67,0.6504854368932039,0.40630182421227196,0.7203119838999662,0.3465453859930249,0.5386181543972098,0.2,21,67,0.1791044776119403,12,55,0.5339805825242718
IDRiD_data,vit_l_official_like,general_error,gated_severe_prob_mass_only,103,0.34951456310679613,67,0.6504854368932039,0.4496268656716418,0.5782915250434187,0.3303327363559242,0.5461377132623244,0.2,21,67,0.16417910447761194,11,56,0.5436893203883495
IDRiD_data,vit_l_official_like,large_undergrading,confidence_only_1msp,103,0.34951456310679613,7,0.06796116504854369,0.6622023809523809,0.04908693962785157,0.02370628711471393,0.03497030822886228,0.2,21,7,0.5714285714285714,4,3,0.02912621359223301
IDRiD_data,vit_l_official_like,large_undergrading,negative_margin,103,0.34951456310679613,7,0.06796116504854369,0.6681547619047619,0.04855432386365798,0.023329248751060423,0.03534734659251579,0.2,21,7,0.5714285714285714,4,3,0.02912621359223301
IDRiD_data,vit_l_official_like,large_undergrading,entropy,103,0.34951456310679613,7,0.06796116504854369,0.6220238095238095,0.052489909674031436,0.026251296069375065,0.04401687246677349,0.2,21,7,0.42857142857142855,3,4,0.038834951456310676
IDRiD_data,vit_l_official_like,large_undergrading,expected_gap,103,0.34951456310679613,7,0.06796116504854369,0.6964285714285714,0.03528696315450598,0.021538316523706285,0.03685550004712979,0.2,21,7,0.42857142857142855,3,4,0.038834951456310676
IDRiD_data,vit_l_official_like,large_undergrading,severe_prob_mass,103,0.34951456310679613,7,0.06796116504854369,0.42857142857142855,0.08609881552435346,0.03850504288811385,0.0625883683664813,0.2,21,7,0.14285714285714285,1,6,0.05825242718446602
IDRiD_data,vit_l_official_like,large_undergrading,gated_severe_prob_mass_only,103,0.34951456310679613,7,0.06796116504854369,0.6681547619047619,0.03418080943896309,0.023329248751060423,0.047318314638514464,0.2,21,7,0.2857142857142857,2,5,0.04854368932038835
IDRiD_data,vit_l_official_like,vtdr_miss,confidence_only_1msp,103,0.34951456310679613,17,0.1650485436893204,0.7024623803009576,0.07558691164984259,0.05462343293430108,0.10802149118672827,0.2,21,17,0.35294117647058826,6,11,0.10679611650485436
IDRiD_data,vit_l_official_like,vtdr_miss,negative_margin,103,0.34951456310679613,17,0.1650485436893204,0.688782489740082,0.07903829510196714,0.05650862475256856,0.11706805542463945,0.2,21,17,0.35294117647058826,6,11,0.10679611650485436
IDRiD_data,vit_l_official_like,vtdr_miss,entropy,103,0.34951456310679613,17,0.1650485436893204,0.667578659370725,0.08446357925766813,0.05943067207088321,0.1131303610142332,0.2,21,17,0.35294117647058826,6,11,0.10679611650485436
IDRiD_data,vit_l_official_like,vtdr_miss,expected_gap,103,0.34951456310679613,17,0.1650485436893204,0.6771545827633378,0.08655420932619909,0.05811103779809595,0.11188613441417665,0.2,21,17,0.35294117647058826,6,11,0.10679611650485436
IDRiD_data,vit_l_official_like,vtdr_miss,severe_prob_mass,103,0.34951456310679613,17,0.1650485436893204,0.6196990424076607,0.09215349632744915,0.0660288434348195,0.14685644264303893,0.2,21,17,0.11764705882352941,2,15,0.14563106796116504
IDRiD_data,vit_l_official_like,vtdr_miss,gated_severe_prob_mass_only,103,0.34951456310679613,17,0.1650485436893204,0.8809849521203831,0.03613812478704787,0.03002167970591008,0.06418842492223584,0.2,21,17,0.6470588235294118,11,6,0.05825242718446602
MESSIDOR2,convnext_tiny,general_error,confidence_only_1msp,526,0.5874524714828897,217,0.41254752851711024,0.6655034077520767,0.29820691648695197,0.16616367158698261,0.2801160924691697,0.2,106,217,0.31797235023041476,69,148,0.2813688212927757
MESSIDOR2,convnext_tiny,general_error,negative_margin,526,0.5874524714828897,217,0.41254752851711024,0.6655630620553891,0.29803683854904484,0.1661492142433749,0.28049379057092044,0.2,106,217,0.31797235023041476,69,148,0.2813688212927757
MESSIDOR2,convnext_tiny,general_error,entropy,526,0.5874524714828897,217,0.41254752851711024,0.6659060742994348,0.29788238309023685,0.16606608451763075,0.27948177651838246,0.2,106,217,0.3225806451612903,70,147,0.279467680608365
MESSIDOR2,convnext_tiny,general_error,expected_gap,526,0.5874524714828897,217,0.41254752851711024,0.6270412956914679,0.35826237809766237,0.17548504387803782,0.2799823620407986,0.2,106,217,0.34101382488479265,74,143,0.2718631178707224
MESSIDOR2,convnext_tiny,general_error,severe_prob_mass,526,0.5874524714828897,217,0.41254752851711024,0.6656078027828732,0.3041431825355345,0.16613837123566916,0.27898878110136044,0.2,106,217,0.3271889400921659,71,146,0.27756653992395436
MESSIDOR2,convnext_tiny,general_error,gated_severe_prob_mass_only,526,0.5874524714828897,217,0.41254752851711024,0.6803722428526687,0.29603741071772793,0.16256740736457084,0.27317295320157875,0.2,106,217,0.33640552995391704,73,144,0.2737642585551331
MESSIDOR2,convnext_tiny,large_undergrading,confidence_only_1msp,526,0.5874524714828897,99,0.188212927756654,0.6627398102807939,0.10692878280636961,0.06924164004105886,0.13012151397302257,0.2,106,99,0.2828282828282828,28,71,0.13498098859315588
MESSIDOR2,convnext_tiny,large_undergrading,negative_margin,526,0.5874524714828897,99,0.188212927756654,0.6630473351784827,0.10688076475538208,0.06919465367433388,0.1297203226879093,0.2,106,99,0.2828282828282828,28,71,0.13498098859315588
MESSIDOR2,convnext_tiny,large_undergrading,entropy,526,0.5874524714828897,99,0.188212927756654,0.6629290563716793,0.10679542236728534,0.06921272535384349,0.13033837412713786,0.2,106,99,0.29292929292929293,29,70,0.13307984790874525
MESSIDOR2,convnext_tiny,large_undergrading,expected_gap,526,0.5874524714828897,99,0.188212927756654,0.7384382466349679,0.08445896159218304,0.05767576515491044,0.10608039728780233,0.2,106,99,0.47474747474747475,47,52,0.09885931558935361
MESSIDOR2,convnext_tiny,large_undergrading,severe_prob_mass,526,0.5874524714828897,99,0.188212927756654,0.6655548458827147,0.10454938305241489,0.06881153406873022,0.13029500209631484,0.2,106,99,0.30303030303030304,30,69,0.1311787072243346
MESSIDOR2,convnext_tiny,large_undergrading,gated_severe_prob_mass_only,526,0.5874524714828897,99,0.188212927756654,0.6819482885056656,0.09956552051209751,0.06630679928869869,0.1252020413769174,0.2,106,99,0.3333333333333333,33,66,0.12547528517110265
