method,route_signal,expert_mode,budget,expert_calls,n_images,accuracy,macro_f1,qwk,n_correct,n_error
uncertainty_defer,low_confidence,convnext,0.5,550,1100,0.8209090909090909,0.6710341752213351,0.8687052715165038,903,197
uncertainty_defer,low_confidence,retfound_official_protocol,0.5,550,1100,0.8481818181818181,0.71158031555047,0.9141842168305055,933,167
uncertainty_defer,low_confidence,both_experts_average,0.5,1100,1100,0.8527272727272728,0.7199646449868917,0.9102194582120389,938,162
uncertainty_defer,low_confidence,all_three_average,0.5,1100,1100,0.8445454545454546,0.7103835067488398,0.9059383144422132,929,171
uncertainty_defer,low_margin,convnext,0.1,110,1100,0.7918181818181819,0.6494812356238835,0.8639125089378952,871,229
uncertainty_defer,low_margin,retfound_official_protocol,0.1,110,1100,0.8036363636363636,0.6698067790392421,0.8805805388891961,884,216
uncertainty_defer,low_margin,both_experts_average,0.1,220,1100,0.8027272727272727,0.6680013026904945,0.8765451622793436,883,217
uncertainty_defer,low_margin,all_three_average,0.1,220,1100,0.7990909090909091,0.6614932683744148,0.8744844852919403,879,221
uncertainty_defer,low_margin,convnext,0.2,220,1100,0.8118181818181818,0.6724157798009568,0.8695945523038031,893,207
uncertainty_defer,low_margin,retfound_official_protocol,0.2,220,1100,0.8318181818181818,0.7022052945541534,0.9004014468436055,915,185
uncertainty_defer,low_margin,both_experts_average,0.2,440,1100,0.83,0.7022638265258575,0.8941006302303957,913,187
uncertainty_defer,low_margin,all_three_average,0.2,440,1100,0.8263636363636364,0.6952568959088511,0.8905472065119058,909,191
uncertainty_defer,low_margin,convnext,0.3,330,1100,0.8136363636363636,0.6662400447826393,0.8684136287783273,895,205
uncertainty_defer,low_margin,retfound_official_protocol,0.3,330,1100,0.8363636363636363,0.7003730356364045,0.9054609209825188,920,180
uncertainty_defer,low_margin,both_experts_average,0.3,660,1100,0.8354545454545454,0.7002160041304724,0.8993116472856493,919,181
uncertainty_defer,low_margin,all_three_average,0.3,660,1100,0.8327272727272728,0.6959800835387077,0.8973386845180497,916,184
uncertainty_defer,low_margin,convnext,0.4,440,1100,0.8190909090909091,0.6705341595953078,0.8722816271095628,901,199
uncertainty_defer,low_margin,retfound_official_protocol,0.4,440,1100,0.8418181818181818,0.7004751445616273,0.9117277419031049,926,174
uncertainty_defer,low_margin,both_experts_average,0.4,880,1100,0.8454545454545455,0.7095355163011178,0.9075934003614643,930,170
uncertainty_defer,low_margin,all_three_average,0.4,880,1100,0.8390909090909091,0.7002288465267696,0.9026312874242769,923,177
uncertainty_defer,low_margin,convnext,0.5,550,1100,0.8209090909090909,0.671616015629396,0.8686049283106055,903,197
uncertainty_defer,low_margin,retfound_official_protocol,0.5,550,1100,0.8472727272727273,0.7103719164277722,0.9139634804108125,932,168
uncertainty_defer,low_margin,both_experts_average,0.5,1100,1100,0.8527272727272728,0.7198927810341795,0.9102059500962765,938,162
uncertainty_defer,low_margin,all_three_average,0.5,1100,1100,0.8445454545454546,0.7103835067488398,0.9059383144422132,929,171
