policy,expert,expert_call_rate,event,total_event_n,captured_n,capture_rate,expected_capture_random,lift_vs_random,expert_corrected_n,expert_corrected_rate_among_captured,expert_still_wrong_n,expert_still_wrong_rate_among_captured,green_wrong_expert_correct_n,green_wrong_expert_wrong_n,green_correct_expert_wrong_n
low_confidence,retfound_mae,0.2,green_error,243,121,0.49794238683127573,0.2,2.4897119341563787,64,0.5289256198347108,57,0.47107438016528924,64,57,0
low_confidence,retfound_mae,0.2,green_referable_miss_proxy_true_ge2_pred_le1,56,24,0.42857142857142855,0.2,2.142857142857143,14,0.5833333333333334,10,0.4166666666666667,14,10,0
low_confidence,retfound_mae,0.2,green_severe_or_pdr_miss_proxy_true_ge3_pred_le2,45,27,0.6,0.2,2.9999999999999996,7,0.25925925925925924,20,0.7407407407407407,7,20,0
low_confidence,retfound_mae,0.2,green_large_undergrading_proxy_true_eq4_pred_le2,28,18,0.6428571428571429,0.2,3.2142857142857144,7,0.3888888888888889,11,0.6111111111111112,7,11,0
low_confidence,retfound_mae,0.2,green_two_step_undergrading,34,23,0.6764705882352942,0.2,3.3823529411764706,8,0.34782608695652173,15,0.6521739130434783,8,15,0
low_confidence,retfound_mae,0.3,green_error,243,162,0.6666666666666666,0.3,2.2222222222222223,84,0.5185185185185185,78,0.48148148148148145,84,78,0
low_confidence,retfound_mae,0.3,green_referable_miss_proxy_true_ge2_pred_le1,56,34,0.6071428571428571,0.3,2.0238095238095237,20,0.5882352941176471,14,0.4117647058823529,20,14,0
low_confidence,retfound_mae,0.3,green_severe_or_pdr_miss_proxy_true_ge3_pred_le2,45,31,0.6888888888888889,0.3,2.2962962962962963,8,0.25806451612903225,23,0.7419354838709677,8,23,0
low_confidence,retfound_mae,0.3,green_large_undergrading_proxy_true_eq4_pred_le2,28,20,0.7142857142857143,0.3,2.380952380952381,8,0.4,12,0.6,8,12,0
low_confidence,retfound_mae,0.3,green_two_step_undergrading,34,25,0.7352941176470589,0.3,2.450980392156863,9,0.36,16,0.64,9,16,0
low_confidence,retfound_mae,0.4,green_error,243,202,0.831275720164609,0.4,2.0781893004115224,103,0.5099009900990099,99,0.4900990099009901,103,99,0
low_confidence,retfound_mae,0.4,green_referable_miss_proxy_true_ge2_pred_le1,56,43,0.7678571428571429,0.4,1.9196428571428572,26,0.6046511627906976,17,0.3953488372093023,26,17,0
low_confidence,retfound_mae,0.4,green_severe_or_pdr_miss_proxy_true_ge3_pred_le2,45,38,0.8444444444444444,0.4,2.111111111111111,10,0.2631578947368421,28,0.7368421052631579,10,28,0
