policy,expert,expert_call_rate,group,n,green_error_rate,expert_error_rate,green_mean_confidence,green_mean_margin,green_mean_entropy,referable_dr_rate_true_ge2,severe_or_pdr_rate_true_ge3,pdr_rate_true_eq4,true_grade_0_count,true_grade_0_rate,true_grade_1_count,true_grade_1_rate,true_grade_2_count,true_grade_2_rate,true_grade_3_count,true_grade_3_rate,true_grade_4_count,true_grade_4_rate,green_error_count,referable_dr_true_ge2_count,referable_dr_true_ge2_rate,severe_or_pdr_true_ge3_count,severe_or_pdr_true_ge3_rate,pdr_true_eq4_count,pdr_true_eq4_rate,green_referable_miss_true_ge2_pred_le1_count,green_referable_miss_true_ge2_pred_le1_rate,green_vtdr_miss_true_ge3_pred_le2_count,green_vtdr_miss_true_ge3_pred_le2_rate,green_large_undergrading_true_ge4_pred_le2_count,green_large_undergrading_true_ge4_pred_le2_rate,green_two_step_undergrading_count,green_two_step_undergrading_rate
low_margin,dense_average,0.3,all,1100,0.22090909090909092,0.1690909090909091,0.763567439758457,0.6114915701768572,0.6112229883738004,0.40636363636363637,0.13363636363636364,0.0809090909090909,542,0.49272727272727274,111,0.1009090909090909,300,0.2727272727272727,58,0.05272727272727273,89,0.0809090909090909,243,447,0.40636363636363637,147,0.13363636363636364,89,0.0809090909090909,56,0.05090909090909091,45,0.04090909090909091,28,0.025454545454545455,34,0.03090909090909091
low_margin,dense_average,0.4,defer,440,0.45454545454545453,0.3340909090909091,0.5415840690580729,0.2527417216986476,1.0477500749743387,0.7477272727272727,0.22727272727272727,0.1340909090909091,53,0.12045454545454545,58,0.1318181818181818,229,0.5204545454545455,41,0.09318181818181819,59,0.1340909090909091,200,329,0.7477272727272727,100,0.22727272727272727,59,0.1340909090909091,45,0.10227272727272728,40,0.09090909090909091,25,0.056818181818181816,31,0.07045454545454545
low_margin,dense_average,0.4,non_defer,660,0.06515151515151515,0.05909090909090909,0.911556353558713,0.8506581358289969,0.3202049306401081,0.1787878787878788,0.07121212121212121,0.045454545454545456,489,0.740909090909091,53,0.0803030303030303,71,0.10757575757575757,17,0.025757575757575757,30,0.045454545454545456,43,118,0.1787878787878788,47,0.07121212121212121,30,0.045454545454545456,11,0.016666666666666666,5,0.007575757575757576,3,0.004545454545454545,3,0.004545454545454545
low_margin,dense_average,0.4,all,1100,0.22090909090909092,0.1690909090909091,0.763567439758457,0.6114915701768572,0.6112229883738004,0.40636363636363637,0.13363636363636364,0.0809090909090909,542,0.49272727272727274,111,0.1009090909090909,300,0.2727272727272727,58,0.05272727272727273,89,0.0809090909090909,243,447,0.40636363636363637,147,0.13363636363636364,89,0.0809090909090909,56,0.05090909090909091,45,0.04090909090909091,28,0.025454545454545455,34,0.03090909090909091
low_margin,dense_average,0.5,defer,550,0.4090909090909091,0.3054545454545455,0.5875185140326189,0.32632050965861986,0.9802040541899026,0.6981818181818182,0.21818181818181817,0.13272727272727272,95,0.17272727272727273,71,0.1290909090909091,264,0.48,47,0.08545454545454545,73,0.13272727272727272,225,384,0.6981818181818182,120,0.21818181818181817,73,0.13272727272727272,47,0.08545454545454545,44,0.08,27,0.04909090909090909,33,0.06
low_margin,dense_average,0.5,non_defer,550,0.03272727272727273,0.03272727272727273,0.939616365484295,0.8966626306950944,0.2422419225576978,0.11454545454545455,0.04909090909090909,0.02909090909090909,447,0.8127272727272727,40,0.07272727272727272,36,0.06545454545454546,11,0.02,16,0.02909090909090909,18,63,0.11454545454545455,27,0.04909090909090909,16,0.02909090909090909,9,0.016363636363636365,1,0.0018181818181818182,1,0.0018181818181818182,1,0.0018181818181818182
low_margin,dense_average,0.5,all,1100,0.22090909090909092,0.1690909090909091,0.763567439758457,0.6114915701768572,0.6112229883738004,0.40636363636363637,0.13363636363636364,0.0809090909090909,542,0.49272727272727274,111,0.1009090909090909,300,0.2727272727272727,58,0.05272727272727273,89,0.0809090909090909,243,447,0.40636363636363637,147,0.13363636363636364,89,0.0809090909090909,56,0.05090909090909091,45,0.04090909090909091,28,0.025454545454545455,34,0.03090909090909091
high_entropy,convnext,0.1,defer,110,0.6090909090909091,0.4636363636363636,0.42245928569476937,0.1311780425421734,1.2782617051774126,0.7818181818181819,0.22727272727272727,0.17272727272727273,4,0.03636363636363636,20,0.18181818181818182,61,0.5545454545454546,6,0.05454545454545454,19,0.17272727272727273,67,86,0.7818181818181819,25,0.22727272727272727,19,0.17272727272727273,16,0.14545454545454545,18,0.16363636363636364,12,0.10909090909090909,16,0.14545454545454545
high_entropy,convnext,0.1,non_defer,990,0.17777777777777778,0.15555555555555556,0.8014683457655333,0.6648597399140442,0.5371075753956212,0.36464646464646466,0.12323232323232323,0.0707070707070707,538,0.5434343434343434,91,0.09191919191919191,239,0.24141414141414141,52,0.052525252525252523,70,0.0707070707070707,176,361,0.36464646464646466,122,0.12323232323232323,70,0.0707070707070707,40,0.04040404040404041,27,0.02727272727272727,16,0.01616161616161616,18,0.01818181818181818
high_entropy,convnext,0.1,all,1100,0.22090909090909092,0.18636363636363637,0.763567439758457,0.6114915701768572,0.6112229883738004,0.40636363636363637,0.13363636363636364,0.0809090909090909,542,0.49272727272727274,111,0.1009090909090909,300,0.2727272727272727,58,0.05272727272727273,89,0.0809090909090909,243,447,0.40636363636363637,147,0.13363636363636364,89,0.0809090909090909,56,0.05090909090909091,45,0.04090909090909091,28,0.025454545454545455,34,0.03090909090909091
high_entropy,convnext,0.2,defer,220,0.509090909090909,0.38636363636363635,0.46612265550122833,0.17337827266119848,1.1938712467503183,0.7772727272727272,0.20909090909090908,0.15,16,0.07272727272727272,33,0.15,125,0.5681818181818182,13,0.05909090909090909,33,0.15,112,171,0.7772727272727272,46,0.20909090909090908,33,0.15,27,0.12272727272727273,25,0.11363636363636363,16,0.07272727272727272,21,0.09545454545454546
high_entropy,convnext,0.2,non_defer,880,0.14886363636363636,0.13636363636363635,0.837928635822764,0.7210198945557719,0.4655609237796708,0.31363636363636366,0.11477272727272728,0.06363636363636363,526,0.5977272727272728,78,0.08863636363636364,175,0.19886363636363635,45,0.05113636363636364,56,0.06363636363636363,131,276,0.31363636363636366,101,0.11477272727272728,56,0.06363636363636363,29,0.03295454545454545,20,0.022727272727272728,12,0.013636363636363636,13,0.014772727272727272
