model_name,role,batch_start,batch_size,batch_ms,per_image_ms
convnext_tiny,scout_or_expert,608,32,15.149067039601505,0.473408344987547
convnext_tiny,scout_or_expert,640,32,15.209994977340102,0.4753123430418782
convnext_tiny,scout_or_expert,672,32,15.141829033382237,0.4731821572931949
convnext_tiny,scout_or_expert,704,32,15.126921935006976,0.472716310468968
convnext_tiny,scout_or_expert,736,32,15.168595942668617,0.4740186232083943
convnext_tiny,scout_or_expert,768,32,15.145162935368717,0.4732863417302724
convnext_tiny,scout_or_expert,800,32,15.143504948355258,0.4732345296361018
convnext_tiny,scout_or_expert,832,32,15.151113970205188,0.4734723115689121
convnext_tiny,scout_or_expert,864,32,15.143754077143967,0.473242314910749
convnext_tiny,scout_or_expert,896,32,15.142026008106768,0.4731883127533365
convnext_tiny,scout_or_expert,928,32,15.135674038901925,0.47298981371568516
convnext_tiny,scout_or_expert,960,32,15.144953969866037,0.47327981155831367
convnext_tiny,scout_or_expert,992,32,15.133009059354663,0.4729065331048332
convnext_tiny,scout_or_expert,1024,32,15.138988965190947,0.4730934051622171
convnext_tiny,scout_or_expert,1056,32,15.154354041442275,0.4735735637950711
convnext_tiny,scout_or_expert,1088,12,10.99928596522659,0.9166071637688825
retfound_mae_cfp_official_protocol,expert,0,32,111.45718093030155,3.4830369040719233
retfound_mae_cfp_official_protocol,expert,32,32,112.33009991701692,3.510315622406779
retfound_mae_cfp_official_protocol,expert,64,32,112.4297499191016,3.513429684971925
retfound_mae_cfp_official_protocol,expert,96,32,112.33141901902854,3.510356844344642
retfound_mae_cfp_official_protocol,expert,128,32,113.35811601020396,3.5424411253188737
retfound_mae_cfp_official_protocol,expert,160,32,113.39712794870138,3.543660248396918
retfound_mae_cfp_official_protocol,expert,192,32,112.57414007559419,3.5179418773623183
retfound_mae_cfp_official_protocol,expert,224,32,111.80878290906549,3.4940244659082964
retfound_mae_cfp_official_protocol,expert,256,32,111.93176603410393,3.497867688565748
retfound_mae_cfp_official_protocol,expert,288,32,112.78169800061733,3.5244280625192914
retfound_mae_cfp_official_protocol,expert,320,32,111.44339595921338,3.482606123725418
retfound_mae_cfp_official_protocol,expert,352,32,112.18026001006365,3.505633125314489
retfound_mae_cfp_official_protocol,expert,384,32,112.25666699465364,3.5080208435829263
retfound_mae_cfp_official_protocol,expert,416,32,110.36914493888617,3.4490357793401927
retfound_mae_cfp_official_protocol,expert,448,32,112.93061904143542,3.529081845044857
