dataset,backbone,target,ranking_method,score_col,budget,n,top_k,total_event,captured_event,residual_event,base_event_rate,flagged_event_rate,event_recall,enrichment_ratio,low_risk_npv
IDRiD_data,vit_l_official_like,dangerous_undergrading,expected_gap_only,expected_gap,0.2,103,21,18,6,12,0.17475728155339806,0.2857142857142857,0.3333333333333333,1.6349206349206349,0.8536585365853658
IDRiD_data,vit_l_official_like,dangerous_undergrading,expected_gap_only,expected_gap,0.3,103,31,18,8,10,0.17475728155339806,0.25806451612903225,0.4444444444444444,1.4767025089605734,0.8611111111111112
IDRiD_data,vit_l_official_like,dangerous_undergrading,gated_severe_prob_mass_only,gated_severe_prob_mass,0.1,103,11,18,5,13,0.17475728155339806,0.45454545454545453,0.2777777777777778,2.6010101010101008,0.8586956521739131
IDRiD_data,vit_l_official_like,dangerous_undergrading,gated_severe_prob_mass_only,gated_severe_prob_mass,0.2,103,21,18,11,7,0.17475728155339806,0.5238095238095238,0.6111111111111112,2.997354497354497,0.9146341463414634
IDRiD_data,vit_l_official_like,dangerous_undergrading,gated_severe_prob_mass_only,gated_severe_prob_mass,0.3,103,31,18,15,3,0.17475728155339806,0.4838709677419355,0.8333333333333334,2.7688172043010755,0.9583333333333334
IDRiD_data,vit_l_official_like,dangerous_undergrading,severe_prob_mass_only,severe_prob_mass,0.1,103,11,18,0,18,0.17475728155339806,0.0,0.0,0.0,0.8043478260869565
IDRiD_data,vit_l_official_like,dangerous_undergrading,severe_prob_mass_only,severe_prob_mass,0.2,103,21,18,2,16,0.17475728155339806,0.09523809523809523,0.1111111111111111,0.5449735449735449,0.8048780487804879
IDRiD_data,vit_l_official_like,dangerous_undergrading,severe_prob_mass_only,severe_prob_mass,0.3,103,31,18,4,14,0.17475728155339806,0.12903225806451613,0.2222222222222222,0.7383512544802867,0.8055555555555556
IDRiD_data,vit_l_official_like,dangerous_undergrading,entropy_only,entropy,0.1,103,11,18,3,15,0.17475728155339806,0.2727272727272727,0.16666666666666666,1.5606060606060603,0.8369565217391304
IDRiD_data,vit_l_official_like,dangerous_undergrading,entropy_only,entropy,0.2,103,21,18,6,12,0.17475728155339806,0.2857142857142857,0.3333333333333333,1.6349206349206349,0.8536585365853658
IDRiD_data,vit_l_official_like,dangerous_undergrading,entropy_only,entropy,0.3,103,31,18,7,11,0.17475728155339806,0.22580645161290322,0.3888888888888889,1.2921146953405016,0.8472222222222222
IDRiD_data,vit_l_official_like,dangerous_undergrading,low_margin_only,margin,0.1,103,11,18,1,17,0.17475728155339806,0.09090909090909091,0.05555555555555555,0.5202020202020202,0.8152173913043479
IDRiD_data,vit_l_official_like,dangerous_undergrading,low_margin_only,margin,0.2,103,21,18,6,12,0.17475728155339806,0.2857142857142857,0.3333333333333333,1.6349206349206349,0.8536585365853658
IDRiD_data,vit_l_official_like,dangerous_undergrading,low_margin_only,margin,0.3,103,31,18,9,9,0.17475728155339806,0.2903225806451613,0.5,1.6612903225806452,0.875
IDRiD_data,vit_l_official_like,dangerous_undergrading,low_confidence_only,confidence,0.1,103,11,18,2,16,0.17475728155339806,0.18181818181818182,0.1111111111111111,1.0404040404040404,0.8260869565217391
IDRiD_data,vit_l_official_like,dangerous_undergrading,low_confidence_only,confidence,0.2,103,21,18,6,12,0.17475728155339806,0.2857142857142857,0.3333333333333333,1.6349206349206349,0.8536585365853658
IDRiD_data,vit_l_official_like,dangerous_undergrading,low_confidence_only,confidence,0.3,103,31,18,9,9,0.17475728155339806,0.2903225806451613,0.5,1.6612903225806452,0.875
MESSIDOR2,convnext_tiny,large_undergrading,expected_gap_only,expected_gap,0.1,526,53,99,25,74,0.188212927756654,0.4716981132075472,0.25252525252525254,2.506194015627978,0.8435517970401691
MESSIDOR2,convnext_tiny,large_undergrading,expected_gap_only,expected_gap,0.2,526,106,99,47,52,0.188212927756654,0.44339622641509435,0.47474747474747475,2.355822374690299,0.8761904761904762
MESSIDOR2,convnext_tiny,large_undergrading,expected_gap_only,expected_gap,0.3,526,158,99,58,41,0.188212927756654,0.3670886075949367,0.5858585858585859,1.9503899757064316,0.8885869565217391
MESSIDOR2,convnext_tiny,large_undergrading,gated_severe_prob_mass_only,gated_severe_prob_mass,0.1,526,53,99,12,87,0.188212927756654,0.22641509433962265,0.12121212121212122,1.2029731275014295,0.8160676532769556
MESSIDOR2,convnext_tiny,large_undergrading,gated_severe_prob_mass_only,gated_severe_prob_mass,0.2,526,106,99,33,66,0.188212927756654,0.3113207547169811,0.3333333333333333,1.6540880503144653,0.8428571428571429
MESSIDOR2,convnext_tiny,large_undergrading,gated_severe_prob_mass_only,gated_severe_prob_mass,0.3,526,158,99,53,46,0.188212927756654,0.33544303797468356,0.5353535353535354,1.7822529088351873,0.875
MESSIDOR2,convnext_tiny,large_undergrading,severe_prob_mass_only,severe_prob_mass,0.1,526,53,99,11,88,0.188212927756654,0.20754716981132076,0.1111111111111111,1.1027253668763104,0.813953488372093
MESSIDOR2,convnext_tiny,large_undergrading,severe_prob_mass_only,severe_prob_mass,0.2,526,106,99,30,69,0.188212927756654,0.2830188679245283,0.30303030303030304,1.5037164093767867,0.8357142857142857
