dataset,backbone,true_grade,pred_grade,count
MESSIDOR2,vit_b_imagenet,4,4,5
MESSIDOR2,vit_b_official_like,0,0,304
MESSIDOR2,vit_b_official_like,0,1,0
MESSIDOR2,vit_b_official_like,0,2,2
MESSIDOR2,vit_b_official_like,0,3,0
MESSIDOR2,vit_b_official_like,0,4,0
MESSIDOR2,vit_b_official_like,1,0,81
MESSIDOR2,vit_b_official_like,1,1,0
MESSIDOR2,vit_b_official_like,1,2,0
MESSIDOR2,vit_b_official_like,1,3,0
MESSIDOR2,vit_b_official_like,1,4,0
MESSIDOR2,vit_b_official_like,2,0,95
MESSIDOR2,vit_b_official_like,2,1,0
MESSIDOR2,vit_b_official_like,2,2,10
MESSIDOR2,vit_b_official_like,2,3,0
MESSIDOR2,vit_b_official_like,2,4,0
MESSIDOR2,vit_b_official_like,3,0,13
MESSIDOR2,vit_b_official_like,3,1,0
MESSIDOR2,vit_b_official_like,3,2,7
MESSIDOR2,vit_b_official_like,3,3,2
MESSIDOR2,vit_b_official_like,3,4,1
MESSIDOR2,vit_b_official_like,4,0,6
MESSIDOR2,vit_b_official_like,4,1,0
MESSIDOR2,vit_b_official_like,4,2,3
MESSIDOR2,vit_b_official_like,4,3,0
MESSIDOR2,vit_b_official_like,4,4,2
MESSIDOR2,vit_l_official_like,0,0,286
MESSIDOR2,vit_l_official_like,0,1,6
MESSIDOR2,vit_l_official_like,0,2,3
MESSIDOR2,vit_l_official_like,0,3,0
MESSIDOR2,vit_l_official_like,0,4,11
MESSIDOR2,vit_l_official_like,1,0,76
MESSIDOR2,vit_l_official_like,1,1,4
MESSIDOR2,vit_l_official_like,1,2,0
MESSIDOR2,vit_l_official_like,1,3,0
MESSIDOR2,vit_l_official_like,1,4,1
MESSIDOR2,vit_l_official_like,2,0,73
MESSIDOR2,vit_l_official_like,2,1,8
MESSIDOR2,vit_l_official_like,2,2,20
MESSIDOR2,vit_l_official_like,2,3,0
MESSIDOR2,vit_l_official_like,2,4,4
