target,target_role,fold,evaluation_scope,backbone,ranking_method,n_records,positive_records,auroc,auprc
large_undergrading,primary,2,per_backbone,swin_tiny,gated_severe_prob_mass_only,218,7,0.89167230873392,0.1639666977902272
large_undergrading,primary,2,per_backbone,swin_tiny,expected_grade_only,218,7,0.7935003385240351,0.09829192390662146
large_undergrading,primary,2,per_backbone,swin_tiny,expected_gap_only,218,7,0.917400135409614,0.19696077731792014
large_undergrading,primary,2,per_backbone,swin_tiny,top2_more_severe_only,218,7,0.8876100203114422,0.13819037473432244
large_undergrading,primary,2,per_backbone,swin_tiny,learned_logistic,218,7,0.8056872037914692,0.09370799020831058
large_undergrading,primary,2,per_backbone,vit_b_imagenet,confidence_only,218,8,0.7910714285714285,0.10640216496046803
large_undergrading,primary,2,per_backbone,vit_b_imagenet,margin_only,218,8,0.780952380952381,0.09780806525775565
large_undergrading,primary,2,per_backbone,vit_b_imagenet,entropy_only,218,8,0.8107142857142857,0.13337514774674483
large_undergrading,primary,2,per_backbone,vit_b_imagenet,uncertainty_rank_fusion,218,8,0.7919642857142858,0.10970258702928792
large_undergrading,primary,2,per_backbone,vit_b_imagenet,ophagent_combined,218,8,0.8267857142857143,0.1564224002691495
large_undergrading,primary,2,per_backbone,vit_b_imagenet,severe_prob_mass_only,218,8,0.780952380952381,0.08799652329957938
large_undergrading,primary,2,per_backbone,vit_b_imagenet,gated_severe_prob_mass_only,218,8,0.8571428571428571,0.15752744593010767
large_undergrading,primary,2,per_backbone,vit_b_imagenet,expected_grade_only,218,8,0.7357142857142857,0.08100185902384538
large_undergrading,primary,2,per_backbone,vit_b_imagenet,expected_gap_only,218,8,0.9053571428571429,0.40233817104479597
large_undergrading,primary,2,per_backbone,vit_b_imagenet,top2_more_severe_only,218,8,0.7958333333333334,0.14397016878381558
large_undergrading,primary,2,per_backbone,vit_b_imagenet,learned_logistic,218,8,0.8607142857142857,0.18003548509004189
large_undergrading,primary,2,per_backbone,vit_b_official_like,confidence_only,218,6,0.7814465408805031,0.07289541863965693
large_undergrading,primary,2,per_backbone,vit_b_official_like,margin_only,218,6,0.7971698113207547,0.09611075287545877
large_undergrading,primary,2,per_backbone,vit_b_official_like,entropy_only,218,6,0.7625786163522013,0.06417833800186741
large_undergrading,primary,2,per_backbone,vit_b_official_like,uncertainty_rank_fusion,218,6,0.7755503144654088,0.07168658074160675
large_undergrading,primary,2,per_backbone,vit_b_official_like,ophagent_combined,218,6,0.8333333333333334,0.10447701168012653
