target,target_role,evaluation_scope,backbone,ranking_method,n_folds,mean_auroc,std_auroc,mean_auprc,std_auprc,mean_positive_records
dangerous_undergrading,secondary,per_backbone,vit_b_imagenet,gated_severe_prob_mass_only,5,0.8533373518676246,0.02252456903317592,0.2885533201668761,0.13135678664074613,13.2
dangerous_undergrading,secondary,per_backbone,vit_b_imagenet,learned_logistic,5,0.835420847898553,0.03223931401139293,0.2680460160804268,0.11187539313219337,13.2
dangerous_undergrading,secondary,per_backbone,vit_b_imagenet,ophagent_combined,5,0.8006343179906373,0.029836361830621577,0.24820078669204576,0.10872295189155953,13.2
dangerous_undergrading,secondary,per_backbone,vit_b_imagenet,top2_more_severe_only,5,0.7644654476864636,0.13860457528191644,0.197614307489454,0.060220164998799446,13.2
dangerous_undergrading,secondary,per_backbone,vit_b_imagenet,uncertainty_rank_fusion,5,0.7648180712925386,0.026770137046357747,0.16429745920435224,0.05937999033520635,13.2
dangerous_undergrading,secondary,per_backbone,vit_b_imagenet,entropy_only,5,0.7702188324694784,0.029292774437671178,0.16318215105134284,0.05961770873596271,13.2
dangerous_undergrading,secondary,per_backbone,vit_b_imagenet,confidence_only,5,0.7626849588503892,0.02740694698804494,0.15605280415752137,0.06263038665313524,13.2
dangerous_undergrading,secondary,per_backbone,vit_b_imagenet,margin_only,5,0.761546260473998,0.027511033166164916,0.15055945379577937,0.055727304510970355,13.2
dangerous_undergrading,secondary,per_backbone,vit_b_imagenet,severe_prob_mass_only,5,0.7422963369482515,0.03307238277880072,0.11731107666573012,0.04671873101940715,13.2
dangerous_undergrading,secondary,per_backbone,vit_b_imagenet,expected_grade_only,5,0.7342530200916629,0.0446134945192724,0.11587733358338204,0.04913424858443658,13.2
dangerous_undergrading,secondary,per_backbone,vit_b_official_like,gated_severe_prob_mass_only,5,0.8854379461994771,0.030233264139534484,0.45759333373218825,0.12565499559874171,18.6
dangerous_undergrading,secondary,per_backbone,vit_b_official_like,learned_logistic,5,0.8747325824451065,0.017557095755285024,0.38763635438409755,0.093370119681114,18.6
dangerous_undergrading,secondary,per_backbone,vit_b_official_like,expected_gap_only,5,0.8149506857977251,0.07017105241969844,0.3809012496232521,0.10866224742710315,18.6
dangerous_undergrading,secondary,per_backbone,vit_b_official_like,top2_more_severe_only,5,0.8663074639273385,0.051665874925961565,0.3742368415959375,0.09070825124838258,18.6
dangerous_undergrading,secondary,per_backbone,vit_b_official_like,ophagent_combined,5,0.8544574648311253,0.023332304075179885,0.3376535360604826,0.05447081666334455,18.6
dangerous_undergrading,secondary,per_backbone,vit_b_official_like,margin_only,5,0.7981135883981645,0.030059035873192527,0.23161017949877266,0.03494192851067013,18.6
dangerous_undergrading,secondary,per_backbone,vit_b_official_like,confidence_only,5,0.7927441893408093,0.03015743628098045,0.2266920583222065,0.03788771472427986,18.6
dangerous_undergrading,secondary,per_backbone,vit_b_official_like,uncertainty_rank_fusion,5,0.787883403902819,0.029095715439132884,0.2181435371910394,0.02888166069785377,18.6
dangerous_undergrading,secondary,per_backbone,vit_b_official_like,entropy_only,5,0.7703522638536134,0.02704341784727196,0.21164585931135305,0.0283635227757796,18.6
dangerous_undergrading,secondary,per_backbone,vit_b_official_like,severe_prob_mass_only,5,0.798709498404909,0.03415138761714989,0.19320434358266378,0.050940849132976744,18.6
dangerous_undergrading,secondary,per_backbone,vit_b_official_like,expected_grade_only,5,0.7791710564461308,0.050676452354625375,0.1882568171737242,0.061171216042280145,18.6
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,gated_severe_prob_mass_only,5,0.832449754190899,0.08737308269616313,0.33749673102947764,0.18499777681055682,14.2
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,top2_more_severe_only,5,0.7971932818325073,0.08087270901304179,0.27733335011223736,0.1646557770224708,14.2
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,learned_logistic,5,0.8271787180371337,0.065442421859962,0.271536592998134,0.1323139863450231,14.2
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,ophagent_combined,5,0.7997129471301332,0.06839312713917559,0.2507285104154217,0.05831785088893627,14.2
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,entropy_only,5,0.6977936186460479,0.056467414497246536,0.16809825534307404,0.061403925713372394,14.2
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,confidence_only,5,0.7349689320887123,0.07121510604627469,0.16648148476721442,0.03962708460426809,14.2
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,margin_only,5,0.7470800395377794,0.07556163209872248,0.1585746210428436,0.05468111973270032,14.2
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,uncertainty_rank_fusion,5,0.7288065536840576,0.06978585714126945,0.15144176649176566,0.02448769015967634,14.2
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,severe_prob_mass_only,5,0.7144930290100687,0.08676639425867846,0.11902257538215177,0.03448470541385768,14.2
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,expected_grade_only,5,0.7102662476654096,0.08445033273740563,0.11564771884744,0.03310940539861007,14.2
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,expected_gap_only,5,0.5416134052153339,0.056983652162015556,0.1061866483201855,0.030577484586952502,14.2
dangerous_undergrading,secondary,pooled_analysis_only,ALL,gated_severe_prob_mass_only,5,0.8222751428713533,0.03227741517738686,0.2839950056577417,0.07545917312342772,86.0
dangerous_undergrading,secondary,pooled_analysis_only,ALL,ophagent_combined,5,0.828103705537479,0.03360946342769732,0.2647834235682042,0.04000141946435394,86.0
dangerous_undergrading,secondary,pooled_analysis_only,ALL,learned_logistic,5,0.8550558902839379,0.02161155807649357,0.26451248084748086,0.06268638459516782,86.0
dangerous_undergrading,secondary,pooled_analysis_only,ALL,top2_more_severe_only,5,0.7814644193017871,0.051630126617867145,0.2001944297071371,0.0335725058772542,86.0
dangerous_undergrading,secondary,pooled_analysis_only,ALL,expected_gap_only,5,0.7408005716610006,0.036850983960419186,0.17296066413518169,0.032056736891713254,86.0
dangerous_undergrading,secondary,pooled_analysis_only,ALL,confidence_only,5,0.7469120913529622,0.029271780255331944,0.16397828486594687,0.024982513015845784,86.0
dangerous_undergrading,secondary,pooled_analysis_only,ALL,uncertainty_rank_fusion,5,0.7460434039873467,0.029068358934748555,0.16133517888622126,0.022251253506742383,86.0
dangerous_undergrading,secondary,pooled_analysis_only,ALL,margin_only,5,0.752162678722334,0.027196614705842944,0.15026728332011235,0.03141562626251854,86.0
dangerous_undergrading,secondary,pooled_analysis_only,ALL,entropy_only,5,0.7323116054545724,0.02875856117805372,0.14846404829860926,0.017287228516840492,86.0
dangerous_undergrading,secondary,pooled_analysis_only,ALL,expected_grade_only,5,0.749687002779618,0.03792401984805833,0.11854683996740814,0.03291335573753844,86.0
dangerous_undergrading,secondary,pooled_analysis_only,ALL,severe_prob_mass_only,5,0.7198931161958628,0.036741799986043176,0.1119767732876269,0.028319507269151886,86.0
large_undergrading,primary,per_backbone,convnext_tiny,expected_gap_only,5,0.8931103511217066,0.05398938010560491,0.3229131419058356,0.04494663888728908,10.0
large_undergrading,primary,per_backbone,convnext_tiny,ophagent_combined,5,0.8622599996863485,0.04488051058346123,0.32152950555826587,0.15339827192935634,10.0
large_undergrading,primary,per_backbone,convnext_tiny,gated_severe_prob_mass_only,5,0.8456796132760926,0.05490394623483789,0.3147376118049378,0.15599959888467738,10.0
large_undergrading,primary,per_backbone,convnext_tiny,learned_logistic,5,0.8825327977373885,0.04287034352575064,0.2637036955817958,0.06832188548184707,10.0
large_undergrading,primary,per_backbone,convnext_tiny,top2_more_severe_only,5,0.8530640252330228,0.08880144910259401,0.2250907677817075,0.065142844170839,10.0
large_undergrading,primary,per_backbone,convnext_tiny,entropy_only,5,0.8106072116903695,0.049445406174581895,0.20548028052931783,0.09676755984040346,10.0
large_undergrading,primary,per_backbone,convnext_tiny,uncertainty_rank_fusion,5,0.8113704214814031,0.060238924984889884,0.19475687118743681,0.09626597446521083,10.0
large_undergrading,primary,per_backbone,convnext_tiny,confidence_only,5,0.807752738719485,0.06933934518883009,0.18416162886098664,0.09227431282836918,10.0
large_undergrading,primary,per_backbone,convnext_tiny,margin_only,5,0.8047058383252521,0.06254468658630592,0.15408916295575587,0.04390775141452539,10.0
large_undergrading,primary,per_backbone,convnext_tiny,severe_prob_mass_only,5,0.7549069421117003,0.06780934784337025,0.10291662564136055,0.026583563941415943,10.0
large_undergrading,primary,per_backbone,convnext_tiny,expected_grade_only,5,0.7411813993333496,0.07455917420316725,0.09989844300043368,0.0271117132233246,10.0
large_undergrading,primary,per_backbone,retfound_official_like,ophagent_combined,5,0.8044807462183851,0.09342830574292382,0.20703039980507518,0.1452511113477233,7.4
large_undergrading,primary,per_backbone,retfound_official_like,uncertainty_rank_fusion,5,0.7668613974372571,0.10179636177655157,0.18313167626120674,0.17062982242289396,7.4
large_undergrading,primary,per_backbone,retfound_official_like,expected_gap_only,5,0.790633069400218,0.14178052671142244,0.1754803260087602,0.10007008634309433,7.4
large_undergrading,primary,per_backbone,retfound_official_like,confidence_only,5,0.7608911833940896,0.10503550893552903,0.17436281966573822,0.1708214389540655,7.4
large_undergrading,primary,per_backbone,retfound_official_like,gated_severe_prob_mass_only,5,0.8187512694885457,0.05973313807502904,0.16185217949906047,0.10820282456737881,7.4
large_undergrading,primary,per_backbone,retfound_official_like,learned_logistic,5,0.8240951438256067,0.07978325680218558,0.1405469766059271,0.08618316181265563,7.4
large_undergrading,primary,per_backbone,retfound_official_like,margin_only,5,0.760215987578174,0.10581916833647079,0.13889662584027934,0.11837876864315439,7.4
large_undergrading,primary,per_backbone,retfound_official_like,entropy_only,5,0.7790701144377195,0.09283760346368984,0.1315061606655975,0.09279397120426969,7.4
large_undergrading,primary,per_backbone,retfound_official_like,top2_more_severe_only,5,0.7747693831935862,0.16454453409632502,0.12575807349269236,0.06888559609338016,7.4
large_undergrading,primary,per_backbone,retfound_official_like,severe_prob_mass_only,5,0.7080570829949748,0.09128653360134294,0.06923770753930338,0.034182224614446394,7.4
large_undergrading,primary,per_backbone,retfound_official_like,expected_grade_only,5,0.706637111824493,0.08399708307256826,0.06901597638973922,0.033614987303937145,7.4
large_undergrading,primary,per_backbone,swin_tiny,expected_gap_only,5,0.7564148643472779,0.1608853199198493,0.27834523615967016,0.2085651577839728,7.4
