target,target_role,evaluation_scope,backbone,ranking_method,review_budget,n_folds,mean_recall,std_recall,mean_precision,std_precision,mean_lift,std_lift,mean_captured,mean_total,mean_residual,total_captured,total_dangerous,total_residual
dangerous_undergrading,secondary,per_backbone,vit_b_official_like,severe_prob_mass_only,0.5,5,0.9666666666666666,0.07453559924999298,0.16141993327773146,0.036450411478493885,1.9300000000000002,0.151493937908883,17.8,18.6,0.8,89,93,4
dangerous_undergrading,secondary,per_backbone,vit_b_official_like,expected_grade_only,0.5,5,0.9620448179271708,0.03697717715746523,0.1614357202430597,0.03932287920968216,1.9206047873694936,0.07433164016636822,17.8,18.6,0.8,89,93,4
dangerous_undergrading,secondary,per_backbone,vit_b_official_like,top2_more_severe_only,0.5,5,0.9616666666666667,0.06497862896539311,0.16141993327773144,0.0412375232451926,1.9200454545454544,0.13342113156133642,17.8,18.6,0.8,89,93,4
dangerous_undergrading,secondary,per_backbone,vit_b_official_like,entropy_only,0.5,5,0.9520448179271709,0.030305644337546078,0.15961753842487786,0.03834279857215558,1.9006956964604023,0.06330730848629754,17.6,18.6,1.0,88,93,5
dangerous_undergrading,secondary,per_backbone,vit_b_official_like,confidence_only,0.5,5,0.9425210084033614,0.03693160728512027,0.15783182413916358,0.03743659304590269,1.8816480774127833,0.07502163220003376,17.4,18.6,1.2,87,93,6
dangerous_undergrading,secondary,per_backbone,vit_b_official_like,margin_only,0.5,5,0.9425210084033614,0.03693160728512027,0.15783182413916358,0.03743659304590269,1.8816480774127833,0.07502163220003376,17.4,18.6,1.2,87,93,6
dangerous_undergrading,secondary,per_backbone,vit_b_official_like,uncertainty_rank_fusion,0.5,5,0.9425210084033614,0.03693160728512027,0.15783182413916358,0.03743659304590269,1.8816480774127833,0.07502163220003376,17.4,18.6,1.2,87,93,6
dangerous_undergrading,secondary,per_backbone,vit_b_official_like,ophagent_combined,0.5,5,0.9420448179271709,0.038334743078480504,0.15779935660669606,0.03777710188183058,1.8807866055513116,0.08033776754429084,17.4,18.6,1.2,87,93,6
dangerous_undergrading,secondary,per_backbone,vit_b_official_like,expected_gap_only,0.5,5,0.8694677871148458,0.09460600300507545,0.14510365781007983,0.03756891425656318,1.735905271199389,0.1903678463067051,16.0,18.6,2.6,80,93,13
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,gated_severe_prob_mass_only,0.05,5,0.25542340012928244,0.1715019328023704,0.31666666666666665,0.17898679227529357,4.950057785351904,3.1402568579367403,3.6,14.2,10.6,18,71,53
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,top2_more_severe_only,0.05,5,0.23541047188106012,0.1530954644445701,0.2833333333333333,0.18981770772803525,4.590595678830973,2.935955964897551,3.2,14.2,11.0,16,71,55
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,learned_logistic,0.05,5,0.23079508726567552,0.17236515489083548,0.2818181818181818,0.1939157182518322,4.478844684727038,3.243650087989495,3.2,14.2,11.0,16,71,55
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,ophagent_combined,0.05,5,0.17968972204266323,0.11213029366903868,0.2121212121212121,0.13033826162185796,3.501429942606413,2.128427004125809,2.4,14.2,11.8,12,71,59
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,confidence_only,0.05,5,0.12287007110536523,0.0622734808652257,0.14242424242424243,0.04743174497726827,2.410569822334528,1.2260460089354304,1.6,14.2,12.6,8,71,63
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,uncertainty_rank_fusion,0.05,5,0.11110536522301229,0.08033523359075173,0.12424242424242424,0.07902063521457757,2.1763452234040472,1.582171599423077,1.4,14.2,12.8,7,71,64
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,margin_only,0.05,5,0.10648998060762767,0.087209845915643,0.12272727272727273,0.0958864686805863,2.064594229300112,1.6358650535652637,1.4,14.2,12.8,7,71,64
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,entropy_only,0.05,5,0.09319974143503555,0.07319336037455808,0.10757575757575757,0.07658637549151583,1.837905232022879,1.4689075869798716,1.2,14.2,13.0,6,71,65
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,expected_gap_only,0.05,5,0.06352941176470588,0.0817625899006779,0.07272727272727272,0.07606000241218869,1.267379679144385,1.635489613143553,0.8,14.2,13.4,4,71,67
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,expected_grade_only,0.05,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,14.2,0,71,71
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,severe_prob_mass_only,0.05,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,14.2,0,71,71
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,gated_severe_prob_mass_only,0.1,5,0.46687782805429867,0.2286439264119473,0.2865612648221344,0.11805716058343801,4.612064278432564,2.201953477157164,6.4,14.2,7.8,32,71,39
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,learned_logistic,0.1,5,0.39005817711700064,0.19231864515532798,0.24189723320158102,0.1078171469408268,3.8525438755617785,1.8552949871003301,5.4,14.2,8.8,27,71,44
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,top2_more_severe_only,0.1,5,0.3782934712346477,0.19690144561803674,0.23280632411067192,0.10647571365556895,3.735966335454826,1.9009463720894901,5.2,14.2,9.0,26,71,45
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,ophagent_combined,0.1,5,0.3239043309631545,0.11617837029147043,0.2067193675889328,0.07372892457457861,3.2035803071608697,1.1259506374750539,4.6,14.2,9.6,23,71,48
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,margin_only,0.1,5,0.24827407886231417,0.14600842679245107,0.15217391304347827,0.08472707948705936,2.4512502842426116,1.416859975596212,3.4,14.2,10.8,17,71,54
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,confidence_only,0.1,5,0.23388493859082096,0.10166325092770984,0.1442687747035573,0.06767151647535151,2.318329496590366,1.0129186679488877,3.2,14.2,11.0,16,71,55
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,uncertainty_rank_fusion,0.1,5,0.2078345184227537,0.08947122356997834,0.12608695652173912,0.04959253743351887,2.0595441642756223,0.8904783673107107,2.8,14.2,11.4,14,71,57
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,expected_gap_only,0.1,5,0.17606981254040077,0.05443246199731345,0.10790513833992095,0.023367005934952494,1.743501383526959,0.5322082031584238,2.4,14.2,11.8,12,71,59
