target,target_role,fold,evaluation_scope,backbone,ranking_method,review_budget,actual_review_budget,n_records,reviewed_n,auto_released_n,dangerous_error_total,dangerous_error_captured,dangerous_error_recall_at_k,dangerous_error_precision_at_k,dangerous_error_lift_vs_random,residual_dangerous_error_count,residual_dangerous_error_rate,dangerous_errors_per_100_reviewed,number_needed_to_review
large_undergrading,primary,1,per_backbone,convnext_tiny,learned_logistic,0.1,0.1,220,22,198,10,7,0.7,0.3181818181818182,7.0,3,0.015151515151515152,31.818181818181817,3.142857142857143
large_undergrading,primary,1,per_backbone,convnext_tiny,learned_logistic,0.15,0.15,220,33,187,10,8,0.8,0.24242424242424243,5.333333333333333,2,0.0106951871657754,24.242424242424242,4.125
large_undergrading,primary,1,per_backbone,convnext_tiny,learned_logistic,0.2,0.2,220,44,176,10,9,0.9,0.20454545454545456,4.5,1,0.005681818181818182,20.454545454545457,4.888888888888888
large_undergrading,primary,1,per_backbone,convnext_tiny,learned_logistic,0.25,0.25,220,55,165,10,9,0.9,0.16363636363636364,3.6,1,0.006060606060606061,16.363636363636363,6.111111111111111
large_undergrading,primary,1,per_backbone,convnext_tiny,learned_logistic,0.3,0.3,220,66,154,10,9,0.9,0.13636363636363635,2.9999999999999996,1,0.006493506493506494,13.636363636363635,7.333333333333334
large_undergrading,primary,1,per_backbone,convnext_tiny,learned_logistic,0.4,0.4,220,88,132,10,9,0.9,0.10227272727272728,2.25,1,0.007575757575757576,10.227272727272728,9.777777777777777
large_undergrading,primary,1,per_backbone,convnext_tiny,learned_logistic,0.5,0.5,220,110,110,10,10,1.0,0.09090909090909091,2.0,0,0.0,9.090909090909092,11.0
large_undergrading,primary,1,per_backbone,retfound_official_like,confidence_only,0.05,0.05,220,11,209,8,1,0.125,0.09090909090909091,2.5,7,0.03349282296650718,9.090909090909092,11.0
large_undergrading,primary,1,per_backbone,retfound_official_like,confidence_only,0.1,0.1,220,22,198,8,1,0.125,0.045454545454545456,1.25,7,0.03535353535353535,4.545454545454546,22.0
large_undergrading,primary,1,per_backbone,retfound_official_like,confidence_only,0.15,0.15,220,33,187,8,1,0.125,0.030303030303030304,0.8333333333333334,7,0.0374331550802139,3.0303030303030303,33.0
large_undergrading,primary,1,per_backbone,retfound_official_like,confidence_only,0.2,0.2,220,44,176,8,2,0.25,0.045454545454545456,1.25,6,0.03409090909090909,4.545454545454546,22.0
large_undergrading,primary,1,per_backbone,retfound_official_like,confidence_only,0.25,0.25,220,55,165,8,2,0.25,0.03636363636363636,1.0,6,0.03636363636363636,3.6363636363636362,27.5
