source_protocol,source_output_dir,dataset_id,disease_family,protocol_id,task_id,split,method_kind,protocol_name,scout_artifact,expert_artifact,budget,policy,selected_n,expert_call_rate,non_deployable,accuracy,macro_f1,macro_auroc_ovr,macro_aupr_ovr,n_error,accuracy_ci_low,accuracy_ci_high,cost_status,estimated_forward_ms_per_image,relative_forward_cost_vs_expert_only,forward_cost_reduction_vs_expert_only,protocol_family,role,scouts,experts,ms_per_image,qwk,above_random_p975,random_accuracy_p975,oracle_accuracy,gap_to_oracle_accuracy,large_undergrading_event_total_fixed_pool,referable_miss_event_total_fixed_pool,severe_pdr_miss_event_total_fixed_pool,large_undergrading_selected_event_n,referable_miss_selected_event_n,severe_pdr_miss_selected_event_n,large_undergrading_residual_event_n,referable_miss_residual_event_n,severe_pdr_miss_residual_event_n,large_undergrading_event_recall_fixed_pool,referable_miss_event_recall_fixed_pool,severe_pdr_miss_event_recall_fixed_pool,large_undergrading_event_precision_fixed_pool,referable_miss_event_precision_fixed_pool,severe_pdr_miss_event_precision_fixed_pool,large_undergrading_event_lift_vs_budget,referable_miss_event_lift_vs_budget,severe_pdr_miss_event_lift_vs_budget,relative_forward_cost_vs_dense_expert,forward_cost_reduction_vs_dense_expert
experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,APTOS2019,diabetic_retinopathy,,aptos_dr_5class,,,convnext_swin_to_retfound,,,0.2,mean_uncertainty,220,,,0.8472727272727273,0.6982682666964211,,,168,,,,1.8012655771237165,,,multi_scout,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,1.8012655771237165,0.9099989792342572,True,0.8427272727272728,0.8754545454545455,0.0281818181818181,45.0,90.0,75.0,28.0,48.0,40.0,17.0,42.0,35.0,0.6222222222222222,0.5333333333333333,0.5333333333333333,0.1272727272727272,0.2181818181818181,0.1818181818181818,3.111111111111111,2.6666666666666665,2.6666666666666665,0.44989886633918924,0.5501011336608108
experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,APTOS2019,diabetic_retinopathy,,aptos_dr_5class,,,swin_to_retfound,,,0.2,low_confidence,220,,,0.8463636363636363,0.6948694568223874,,,169,,,,1.313953509236771,,,single_scout,main,swin_tiny,retfound_mae_cfp_official_protocol,1.313953509236771,0.9082135171175452,True,0.8409090909090909,0.8818181818181818,0.0354545454545455,45.0,90.0,75.0,20.0,45.0,32.0,25.0,45.0,43.0,0.4444444444444444,0.5,0.4266666666666667,0.0909090909090909,0.2045454545454545,0.1454545454545454,2.222222222222222,2.5,2.1333333333333333,0.32818380683872966,0.6718161931612703
experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,APTOS2019,diabetic_retinopathy,,aptos_dr_5class,,,swin_to_retfound,,,0.2,low_margin,220,,,0.8463636363636363,0.69709065671251,,,169,,,,1.313953509236771,,,single_scout,main,swin_tiny,retfound_mae_cfp_official_protocol,1.313953509236771,0.9074833791741896,True,0.8409090909090909,0.8818181818181818,0.0354545454545455,45.0,90.0,75.0,20.0,42.0,31.0,25.0,48.0,44.0,0.4444444444444444,0.4666666666666667,0.4133333333333333,0.0909090909090909,0.1909090909090909,0.1409090909090909,2.222222222222222,2.333333333333333,2.0666666666666664,0.32818380683872966,0.6718161931612703
experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,APTOS2019,diabetic_retinopathy,,aptos_dr_5class,,,swin_to_retfound,,,0.2,high_entropy,220,,,0.8445454545454546,0.6908981663210577,,,171,,,,1.313953509236771,,,single_scout,main,swin_tiny,retfound_mae_cfp_official_protocol,1.313953509236771,0.9069973987717652,True,0.8409090909090909,0.8818181818181818,0.0372727272727272,45.0,90.0,75.0,21.0,44.0,33.0,24.0,46.0,42.0,0.4666666666666667,0.4888888888888889,0.44,0.0954545454545454,0.2,0.15,2.333333333333333,2.444444444444444,2.2,0.32818380683872966,0.6718161931612703
experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,APTOS2019,diabetic_retinopathy,,aptos_dr_5class,,,convnext_swin_to_retfound,,,0.2,max_uncertainty,220,,,0.84,0.688263121242335,,,176,,,,1.8012655771237165,,,multi_scout,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,1.8012655771237165,0.905639177476761,False,0.8427272727272728,0.8754545454545455,0.0354545454545455,45.0,90.0,75.0,30.0,51.0,42.0,15.0,39.0,33.0,0.6666666666666666,0.5666666666666667,0.56,0.1363636363636363,0.2318181818181818,0.1909090909090909,3.333333333333333,2.833333333333333,2.8000000000000003,0.44989886633918924,0.5501011336608108
experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,APTOS2019,diabetic_retinopathy,,aptos_dr_5class,,,convnext_to_retfound,,,0.2,low_confidence,220,,,0.8354545454545454,0.6949066926383616,,,181,,,,1.1806629455690696,,,single_scout,main,convnext_tiny,retfound_mae_cfp_official_protocol,1.1806629455690696,0.8957023491944108,True,0.8281818181818181,0.8818181818181818,0.0463636363636363,45.0,90.0,75.0,28.0,41.0,42.0,17.0,49.0,33.0,0.6222222222222222,0.4555555555555555,0.56,0.1272727272727272,0.1863636363636363,0.1909090909090909,3.111111111111111,2.2777777777777777,2.8000000000000003,0.29489206227346304,0.705107937726537
experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,APTOS2019,diabetic_retinopathy,,aptos_dr_5class,,,convnext_to_retfound,,,0.2,low_margin,220,,,0.8354545454545454,0.6977215808688438,,,181,,,,1.1806629455690696,,,single_scout,main,convnext_tiny,retfound_mae_cfp_official_protocol,1.1806629455690696,0.8967395998002381,True,0.8281818181818181,0.8818181818181818,0.0463636363636363,45.0,90.0,75.0,27.0,42.0,43.0,18.0,48.0,32.0,0.6,0.4666666666666667,0.5733333333333334,0.1227272727272727,0.1909090909090909,0.1954545454545454,3.0,2.333333333333333,2.8666666666666667,0.29489206227346304,0.705107937726537
experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,APTOS2019,diabetic_retinopathy,,aptos_dr_5class,,,convnext_swin_to_retfound,,,0.3,disagreement_then_uncertainty,330,,,0.8536363636363636,0.710851951436288,,,161,,,,2.1530223977278933,,,multi_scout,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,2.1530223977278933,0.9136204003979396,True,0.8445454545454546,0.8718181818181818,0.0181818181818181,45.0,90.0,75.0,33.0,83.0,48.0,12.0,7.0,27.0,0.7333333333333333,0.9222222222222224,0.64,0.1,0.2515151515151515,0.1454545454545454,2.444444444444444,3.0740740740740744,2.1333333333333333,0.5377565353174641,0.46224346468253585
experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,APTOS2019,diabetic_retinopathy,,aptos_dr_5class,,,convnext_swin_to_retfound,,,0.3,mean_uncertainty,330,,,0.850909090909091,0.7044713642156252,,,164,,,,2.1530223977278933,,,multi_scout,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,2.1530223977278933,0.9126845072036596,True,0.8445454545454546,0.8718181818181818,0.0209090909090908,45.0,90.0,75.0,34.0,74.0,51.0,11.0,16.0,24.0,0.7555555555555555,0.8222222222222222,0.68,0.103030303030303,0.2242424242424242,0.1545454545454545,2.5185185185185186,2.740740740740741,2.266666666666667,0.5377565353174641,0.46224346468253585
experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,APTOS2019,diabetic_retinopathy,,aptos_dr_5class,,,swin_to_retfound,,,0.3,high_entropy,330,,,0.85,0.7034856816397235,,,165,,,,1.665126289759593,,,single_scout,main,swin_tiny,retfound_mae_cfp_official_protocol,1.665126289759593,0.9123765437291786,True,0.8427272727272728,0.8754545454545455,0.0254545454545455,45.0,90.0,75.0,29.0,66.0,48.0,16.0,24.0,27.0,0.6444444444444445,0.7333333333333333,0.64,0.0878787878787878,0.2,0.1454545454545454,2.1481481481481484,2.444444444444444,2.1333333333333333,0.41589560117539964,0.5841043988246004
