source_protocol,source_output_dir,dataset_id,disease_family,task_id,protocol_family,protocol_name,role,scouts,experts,budget,policy,selected_n,large_undergrading_event_total_fixed_pool,referable_miss_event_total_fixed_pool,severe_pdr_miss_event_total_fixed_pool,large_undergrading_selected_event_n,referable_miss_selected_event_n,severe_pdr_miss_selected_event_n,large_undergrading_residual_event_n,referable_miss_residual_event_n,severe_pdr_miss_residual_event_n,large_undergrading_event_recall_fixed_pool,referable_miss_event_recall_fixed_pool,severe_pdr_miss_event_recall_fixed_pool,large_undergrading_event_precision_fixed_pool,referable_miss_event_precision_fixed_pool,severe_pdr_miss_event_precision_fixed_pool,large_undergrading_event_lift_vs_budget,referable_miss_event_lift_vs_budget,severe_pdr_miss_event_lift_vs_budget,risk_source_mode,source_schema
experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,APTOS2019,diabetic_retinopathy,aptos_dr_5class,single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.4,low_confidence,440,45.0,90.0,75.0,41.0,81.0,66.0,4.0,9.0,9.0,0.9111111111111112,0.9,0.88,0.0931818181818181,0.184090909090909,0.15,2.2777777777777777,2.25,2.2,embedded_in_routing,legacy_v083_controlled_replay
experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,APTOS2019,diabetic_retinopathy,aptos_dr_5class,single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.4,high_entropy,440,45.0,90.0,75.0,41.0,81.0,66.0,4.0,9.0,9.0,0.9111111111111112,0.9,0.88,0.0931818181818181,0.184090909090909,0.15,2.2777777777777777,2.25,2.2,embedded_in_routing,legacy_v083_controlled_replay
experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,APTOS2019,diabetic_retinopathy,aptos_dr_5class,single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.4,low_margin,440,45.0,90.0,75.0,39.0,80.0,63.0,6.0,10.0,12.0,0.8666666666666667,0.8888888888888888,0.84,0.0886363636363636,0.1818181818181818,0.1431818181818182,2.1666666666666665,2.222222222222222,2.1,embedded_in_routing,legacy_v083_controlled_replay
experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,APTOS2019,diabetic_retinopathy,aptos_dr_5class,multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.4,max_uncertainty,440,45.0,90.0,75.0,40.0,84.0,65.0,5.0,6.0,10.0,0.8888888888888888,0.9333333333333332,0.8666666666666667,0.0909090909090909,0.1909090909090909,0.1477272727272727,2.222222222222222,2.333333333333333,2.1666666666666665,embedded_in_routing,legacy_v083_controlled_replay
experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,APTOS2019,diabetic_retinopathy,aptos_dr_5class,single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.5,low_confidence,550,45.0,90.0,75.0,44.0,89.0,72.0,1.0,1.0,3.0,0.9777777777777776,0.9888888888888888,0.96,0.08,0.1618181818181818,0.1309090909090909,1.9555555555555555,1.9777777777777776,1.92,embedded_in_routing,legacy_v083_controlled_replay
experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,APTOS2019,diabetic_retinopathy,aptos_dr_5class,single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.5,low_confidence,550,45.0,90.0,75.0,44.0,88.0,74.0,1.0,2.0,1.0,0.9777777777777776,0.9777777777777776,0.9866666666666668,0.08,0.16,0.1345454545454545,1.9555555555555555,1.9555555555555555,1.9733333333333332,embedded_in_routing,legacy_v083_controlled_replay
experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,APTOS2019,diabetic_retinopathy,aptos_dr_5class,single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.5,high_entropy,550,45.0,90.0,75.0,44.0,88.0,74.0,1.0,2.0,1.0,0.9777777777777776,0.9777777777777776,0.9866666666666668,0.08,0.16,0.1345454545454545,1.9555555555555555,1.9555555555555555,1.9733333333333332,embedded_in_routing,legacy_v083_controlled_replay
experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,APTOS2019,diabetic_retinopathy,aptos_dr_5class,single_scout,swin_to_retfound,main,swin_tiny,retfound_mae_cfp_official_protocol,0.5,low_margin,550,45.0,90.0,75.0,44.0,88.0,74.0,1.0,2.0,1.0,0.9777777777777776,0.9777777777777776,0.9866666666666668,0.08,0.16,0.1345454545454545,1.9555555555555555,1.9555555555555555,1.9733333333333332,embedded_in_routing,legacy_v083_controlled_replay
experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,APTOS2019,diabetic_retinopathy,aptos_dr_5class,single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.5,high_entropy,550,45.0,90.0,75.0,44.0,89.0,72.0,1.0,1.0,3.0,0.9777777777777776,0.9888888888888888,0.96,0.08,0.1618181818181818,0.1309090909090909,1.9555555555555555,1.9777777777777776,1.92,embedded_in_routing,legacy_v083_controlled_replay
experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,APTOS2019,diabetic_retinopathy,aptos_dr_5class,single_scout,convnext_to_retfound,main,convnext_tiny,retfound_mae_cfp_official_protocol,0.5,low_margin,550,45.0,90.0,75.0,44.0,89.0,71.0,1.0,1.0,4.0,0.9777777777777776,0.9888888888888888,0.9466666666666668,0.08,0.1618181818181818,0.1290909090909091,1.9555555555555555,1.9777777777777776,1.893333333333333,embedded_in_routing,legacy_v083_controlled_replay
experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,APTOS2019,diabetic_retinopathy,aptos_dr_5class,multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.5,mean_uncertainty,550,45.0,90.0,75.0,44.0,89.0,73.0,1.0,1.0,2.0,0.9777777777777776,0.9888888888888888,0.9733333333333334,0.08,0.1618181818181818,0.1327272727272727,1.9555555555555555,1.9777777777777776,1.9466666666666668,embedded_in_routing,legacy_v083_controlled_replay
experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,APTOS2019,diabetic_retinopathy,aptos_dr_5class,multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.5,max_uncertainty,550,45.0,90.0,75.0,44.0,89.0,72.0,1.0,1.0,3.0,0.9777777777777776,0.9888888888888888,0.96,0.08,0.1618181818181818,0.1309090909090909,1.9555555555555555,1.9777777777777776,1.92,embedded_in_routing,legacy_v083_controlled_replay
experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,APTOS2019,diabetic_retinopathy,aptos_dr_5class,multi_scout,convnext_swin_to_retfound,main,convnext_tiny+swin_tiny,retfound_mae_cfp_official_protocol,0.5,disagreement_then_uncertainty,550,45.0,90.0,75.0,44.0,89.0,73.0,1.0,1.0,2.0,0.9777777777777776,0.9888888888888888,0.9733333333333334,0.08,0.1618181818181818,0.1327272727272727,1.9555555555555555,1.9777777777777776,1.9466666666666668,embedded_in_routing,legacy_v083_controlled_replay
experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,APTOS2019,diabetic_retinopathy,aptos_dr_5class,dense_baseline,dense_convnext_retfound,dense_expert_reference,,convnext_tiny+retfound_mae_cfp_official_protocol,1.0,dense,1100,,,,,,,,,,,,,,,,,,,embedded_in_routing,legacy_v083_controlled_replay
experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,APTOS2019,diabetic_retinopathy,aptos_dr_5class,dense_baseline,dense_retfound,main,,retfound_mae_cfp_official_protocol,1.0,dense,1100,,,,,,,,,,,,,,,,,,,embedded_in_routing,legacy_v083_controlled_replay
experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,APTOS2019,diabetic_retinopathy,aptos_dr_5class,dense_baseline,dense_swin,main,,swin_tiny,1.0,dense,1100,,,,,,,,,,,,,,,,,,,embedded_in_routing,legacy_v083_controlled_replay
experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay,APTOS2019,diabetic_retinopathy,aptos_dr_5class,dense_baseline,dense_convnext,main,,convnext_tiny,1.0,dense,1100,,,,,,,,,,,,,,,,,,,embedded_in_routing,legacy_v083_controlled_replay
