bootstrap_id,target,method,brute_recall,weighted_recall,recall_abs_diff,brute_mean_backbone_recall,weighted_mean_backbone_recall,mean_backbone_recall_abs_diff,brute_captured,weighted_captured,captured_abs_diff,brute_total,weighted_total,total_abs_diff,brute_residual,weighted_residual,residual_abs_diff
9,vision_threatening_dr_miss,learned_logistic,0.7178841309823678,0.7178841309823678,0.0,0.7176258630494866,0.7176258630494866,0.0,285.0,285.0,0.0,397.0,397.0,0.0,112.0,112.0,0.0
9,vision_threatening_dr_miss,ophagent_combined,0.5944584382871536,0.5944584382871536,0.0,0.5935178230905552,0.5935178230905552,0.0,236.0,236.0,0.0,397.0,397.0,0.0,161.0,161.0,0.0
10,vision_threatening_dr_miss,learned_logistic,0.7409326424870466,0.7409326424870466,0.0,0.7363086052322162,0.7363086052322162,0.0,286.0,286.0,0.0,386.0,386.0,0.0,100.0,100.0,0.0
10,vision_threatening_dr_miss,ophagent_combined,0.6269430051813472,0.6269430051813472,0.0,0.6264795775212443,0.6264795775212443,0.0,242.0,242.0,0.0,386.0,386.0,0.0,144.0,144.0,0.0
11,vision_threatening_dr_miss,learned_logistic,0.7100737100737101,0.7100737100737101,0.0,0.7083368250738987,0.7083368250738987,0.0,289.0,289.0,0.0,407.0,407.0,0.0,118.0,118.0,0.0
11,vision_threatening_dr_miss,ophagent_combined,0.5847665847665847,0.5847665847665847,0.0,0.5882255607739663,0.5882255607739663,0.0,238.0,238.0,0.0,407.0,407.0,0.0,169.0,169.0,0.0
12,vision_threatening_dr_miss,learned_logistic,0.7602339181286549,0.7602339181286549,0.0,0.7598396111612353,0.7598396111612353,0.0,260.0,260.0,0.0,342.0,342.0,0.0,82.0,82.0,0.0
12,vision_threatening_dr_miss,ophagent_combined,0.6111111111111112,0.6111111111111112,0.0,0.6031647163374839,0.6031647163374839,0.0,209.0,209.0,0.0,342.0,342.0,0.0,133.0,133.0,0.0
13,vision_threatening_dr_miss,learned_logistic,0.7002457002457002,0.7002457002457002,0.0,0.6987998737365437,0.6987998737365437,0.0,285.0,285.0,0.0,407.0,407.0,0.0,122.0,122.0,0.0
13,vision_threatening_dr_miss,ophagent_combined,0.5454545454545454,0.5454545454545454,0.0,0.5443567525876177,0.5443567525876177,0.0,222.0,222.0,0.0,407.0,407.0,0.0,185.0,185.0,0.0
14,vision_threatening_dr_miss,learned_logistic,0.7570093457943925,0.7570093457943925,0.0,0.7512401513868866,0.7512401513868866,0.0,243.0,243.0,0.0,321.0,321.0,0.0,78.0,78.0,0.0
14,vision_threatening_dr_miss,ophagent_combined,0.7009345794392523,0.7009345794392523,0.0,0.7013687584120453,0.7013687584120453,0.0,225.0,225.0,0.0,321.0,321.0,0.0,96.0,96.0,0.0
15,vision_threatening_dr_miss,learned_logistic,0.6538461538461539,0.6538461538461539,0.0,0.6538164952248139,0.6538164952248139,0.0,255.0,255.0,0.0,390.0,390.0,0.0,135.0,135.0,0.0
15,vision_threatening_dr_miss,ophagent_combined,0.5820512820512821,0.5820512820512821,0.0,0.578488914448868,0.578488914448868,0.0,227.0,227.0,0.0,390.0,390.0,0.0,163.0,163.0,0.0
16,vision_threatening_dr_miss,learned_logistic,0.7700892857142857,0.7700892857142857,0.0,0.7726715813928218,0.7726715813928218,0.0,345.0,345.0,0.0,448.0,448.0,0.0,103.0,103.0,0.0
16,vision_threatening_dr_miss,ophagent_combined,0.6049107142857143,0.6049107142857143,0.0,0.602085320939222,0.602085320939222,0.0,271.0,271.0,0.0,448.0,448.0,0.0,177.0,177.0,0.0
17,vision_threatening_dr_miss,learned_logistic,0.7270408163265306,0.7270408163265306,0.0,0.7213360185260275,0.7213360185260275,0.0,285.0,285.0,0.0,392.0,392.0,0.0,107.0,107.0,0.0
17,vision_threatening_dr_miss,ophagent_combined,0.6505102040816326,0.6505102040816326,0.0,0.6472960754182877,0.6472960754182877,0.0,255.0,255.0,0.0,392.0,392.0,0.0,137.0,137.0,0.0
18,vision_threatening_dr_miss,learned_logistic,0.7197452229299363,0.7197452229299363,0.0,0.7192318955289428,0.7192318955289428,0.0,226.0,226.0,0.0,314.0,314.0,0.0,88.0,88.0,0.0
18,vision_threatening_dr_miss,ophagent_combined,0.6305732484076433,0.6305732484076433,0.0,0.6255724588519851,0.6255724588519851,0.0,198.0,198.0,0.0,314.0,314.0,0.0,116.0,116.0,0.0
19,vision_threatening_dr_miss,learned_logistic,0.760655737704918,0.760655737704918,0.0,0.7615019485656176,0.7615019485656176,0.0,232.0,232.0,0.0,305.0,305.0,0.0,73.0,73.0,0.0
19,vision_threatening_dr_miss,ophagent_combined,0.6327868852459017,0.6327868852459017,0.0,0.6276069591160839,0.6276069591160839,0.0,193.0,193.0,0.0,305.0,305.0,0.0,112.0,112.0,0.0
20,vision_threatening_dr_miss,learned_logistic,0.7087155963302753,0.7087155963302753,0.0,0.7094633103153268,0.7094633103153268,0.0,309.0,309.0,0.0,436.0,436.0,0.0,127.0,127.0,0.0
20,vision_threatening_dr_miss,ophagent_combined,0.5756880733944955,0.5756880733944955,0.0,0.573123424096619,0.573123424096619,0.0,251.0,251.0,0.0,436.0,436.0,0.0,185.0,185.0,0.0
21,vision_threatening_dr_miss,learned_logistic,0.7733990147783252,0.7733990147783252,0.0,0.7742599615764529,0.7742599615764529,0.0,314.0,314.0,0.0,406.0,406.0,0.0,92.0,92.0,0.0
21,vision_threatening_dr_miss,ophagent_combined,0.6157635467980296,0.6157635467980296,0.0,0.6133236244924095,0.6133236244924095,0.0,250.0,250.0,0.0,406.0,406.0,0.0,156.0,156.0,0.0
22,vision_threatening_dr_miss,learned_logistic,0.7514619883040936,0.7514619883040936,0.0,0.7483847732352321,0.7483847732352321,0.0,257.0,257.0,0.0,342.0,342.0,0.0,85.0,85.0,0.0
22,vision_threatening_dr_miss,ophagent_combined,0.6637426900584795,0.6637426900584795,0.0,0.6630452199697142,0.6630452199697142,0.0,227.0,227.0,0.0,342.0,342.0,0.0,115.0,115.0,0.0
23,vision_threatening_dr_miss,learned_logistic,0.7047353760445683,0.7047353760445683,0.0,0.7007834193990137,0.7007834193990137,0.0,253.0,253.0,0.0,359.0,359.0,0.0,106.0,106.0,0.0
23,vision_threatening_dr_miss,ophagent_combined,0.6016713091922006,0.6016713091922006,0.0,0.5893897272198302,0.5893897272198302,0.0,216.0,216.0,0.0,359.0,359.0,0.0,143.0,143.0,0.0
24,vision_threatening_dr_miss,learned_logistic,0.7142857142857143,0.7142857142857143,0.0,0.7107963435768746,0.7107963435768746,0.0,285.0,285.0,0.0,399.0,399.0,0.0,114.0,114.0,0.0
24,vision_threatening_dr_miss,ophagent_combined,0.6215538847117794,0.6215538847117794,0.0,0.6147343519672492,0.6147343519672492,0.0,248.0,248.0,0.0,399.0,399.0,0.0,151.0,151.0,0.0
25,vision_threatening_dr_miss,learned_logistic,0.6928251121076233,0.6928251121076233,0.0,0.6934000700857678,0.6934000700857678,0.0,309.0,309.0,0.0,446.0,446.0,0.0,137.0,137.0,0.0
25,vision_threatening_dr_miss,ophagent_combined,0.5829596412556054,0.5829596412556054,0.0,0.5816265744050265,0.5816265744050265,0.0,260.0,260.0,0.0,446.0,446.0,0.0,186.0,186.0,0.0
26,vision_threatening_dr_miss,learned_logistic,0.6876712328767123,0.6876712328767123,0.0,0.684368191721133,0.684368191721133,0.0,251.0,251.0,0.0,365.0,365.0,0.0,114.0,114.0,0.0
26,vision_threatening_dr_miss,ophagent_combined,0.6767123287671233,0.6767123287671233,0.0,0.671980116833058,0.671980116833058,0.0,247.0,247.0,0.0,365.0,365.0,0.0,118.0,118.0,0.0
27,vision_threatening_dr_miss,learned_logistic,0.7442528735632183,0.7442528735632183,0.0,0.7425118360746613,0.7425118360746613,0.0,259.0,259.0,0.0,348.0,348.0,0.0,89.0,89.0,0.0
27,vision_threatening_dr_miss,ophagent_combined,0.6350574712643678,0.6350574712643678,0.0,0.6240649002699608,0.6240649002699608,0.0,221.0,221.0,0.0,348.0,348.0,0.0,127.0,127.0,0.0
28,vision_threatening_dr_miss,learned_logistic,0.75,0.75,0.0,0.747946900438989,0.747946900438989,0.0,321.0,321.0,0.0,428.0,428.0,0.0,107.0,107.0,0.0
28,vision_threatening_dr_miss,ophagent_combined,0.6518691588785047,0.6518691588785047,0.0,0.6552099601348019,0.6552099601348019,0.0,279.0,279.0,0.0,428.0,428.0,0.0,149.0,149.0,0.0
