seed,target,target_role,fold,feature,standardized_coefficient,abs_standardized_coefficient,sign,train_records,test_records,train_positive_records,test_positive_records,train_unique_images,test_unique_images
42,vision_threatening_dr_miss,primary,1,gated_severe_prob_mass,0.6028941121302414,0.6028941121302414,1,5268,1332,314,77,878,222
42,vision_threatening_dr_miss,primary,1,top2_more_severe_conf,0.18956563609612004,0.18956563609612004,1,5268,1332,314,77,878,222
42,vision_threatening_dr_miss,primary,2,confidence,0.08275854153623179,0.08275854153623179,1,5292,1308,322,69,882,218
42,vision_threatening_dr_miss,primary,2,margin,-0.013024219341444519,0.013024219341444519,-1,5292,1308,322,69,882,218
42,vision_threatening_dr_miss,primary,2,entropy_norm,-0.36570207534050414,0.36570207534050414,-1,5292,1308,322,69,882,218
42,vision_threatening_dr_miss,primary,2,pred_grade,0.9476973694703632,0.9476973694703632,1,5292,1308,322,69,882,218
42,vision_threatening_dr_miss,primary,2,top2_grade,-0.001838207572745588,0.001838207572745588,-1,5292,1308,322,69,882,218
42,vision_threatening_dr_miss,primary,2,top2_confidence,0.17174995496375275,0.17174995496375275,1,5292,1308,322,69,882,218
42,vision_threatening_dr_miss,primary,2,severe_prob_mass,-1.1384375574406265,1.1384375574406265,-1,5292,1308,322,69,882,218
42,vision_threatening_dr_miss,primary,2,expected_grade,1.2470168846207188,1.2470168846207188,1,5292,1308,322,69,882,218
42,vision_threatening_dr_miss,primary,2,expected_gap,0.5843480750430919,0.5843480750430919,1,5292,1308,322,69,882,218
42,vision_threatening_dr_miss,primary,2,top2_more_severe,-0.11121980589031616,0.11121980589031616,-1,5292,1308,322,69,882,218
42,vision_threatening_dr_miss,primary,2,pred_le_2,1.3968850283085024,1.3968850283085024,1,5292,1308,322,69,882,218
42,vision_threatening_dr_miss,primary,2,gated_severe_prob_mass,0.5731874163408494,0.5731874163408494,1,5292,1308,322,69,882,218
42,vision_threatening_dr_miss,primary,2,top2_more_severe_conf,0.31400680875144615,0.31400680875144615,1,5292,1308,322,69,882,218
42,vision_threatening_dr_miss,primary,3,confidence,-0.05240744539982789,0.05240744539982789,-1,5298,1302,319,72,883,217
42,vision_threatening_dr_miss,primary,3,margin,-0.05020840389319227,0.05020840389319227,-1,5298,1302,319,72,883,217
42,vision_threatening_dr_miss,primary,3,entropy_norm,-0.34609924036701245,0.34609924036701245,-1,5298,1302,319,72,883,217
42,vision_threatening_dr_miss,primary,3,pred_grade,0.9706549225117885,0.9706549225117885,1,5298,1302,319,72,883,217
42,vision_threatening_dr_miss,primary,3,top2_grade,0.05832198839419906,0.05832198839419906,1,5298,1302,319,72,883,217
42,vision_threatening_dr_miss,primary,3,top2_confidence,0.043939335935529386,0.043939335935529386,1,5298,1302,319,72,883,217
42,vision_threatening_dr_miss,primary,3,severe_prob_mass,-1.169147805623752,1.169147805623752,-1,5298,1302,319,72,883,217
42,vision_threatening_dr_miss,primary,3,expected_grade,1.2149812767029917,1.2149812767029917,1,5298,1302,319,72,883,217
42,vision_threatening_dr_miss,primary,3,expected_gap,0.44792298815728554,0.44792298815728554,1,5298,1302,319,72,883,217
42,vision_threatening_dr_miss,primary,3,top2_more_severe,-0.11386315703359903,0.11386315703359903,-1,5298,1302,319,72,883,217
42,vision_threatening_dr_miss,primary,3,pred_le_2,1.4720418500725396,1.4720418500725396,1,5298,1302,319,72,883,217
42,vision_threatening_dr_miss,primary,3,gated_severe_prob_mass,0.5446132152034099,0.5446132152034099,1,5298,1302,319,72,883,217
42,vision_threatening_dr_miss,primary,3,top2_more_severe_conf,0.318983880817185,0.318983880817185,1,5298,1302,319,72,883,217
42,vision_threatening_dr_miss,primary,4,confidence,-0.10334607976564288,0.10334607976564288,-1,5268,1332,318,73,878,222
42,vision_threatening_dr_miss,primary,4,margin,-0.12264273917764194,0.12264273917764194,-1,5268,1332,318,73,878,222
42,vision_threatening_dr_miss,primary,4,entropy_norm,-0.3970878349950755,0.3970878349950755,-1,5268,1332,318,73,878,222
42,vision_threatening_dr_miss,primary,4,pred_grade,1.328971980565856,1.328971980565856,1,5268,1332,318,73,878,222
42,vision_threatening_dr_miss,primary,4,top2_grade,-0.03710219439480277,0.03710219439480277,-1,5268,1332,318,73,878,222
42,vision_threatening_dr_miss,primary,4,top2_confidence,0.14811368764312632,0.14811368764312632,1,5268,1332,318,73,878,222
42,vision_threatening_dr_miss,primary,4,severe_prob_mass,-1.3724323252906856,1.3724323252906856,-1,5268,1332,318,73,878,222
42,vision_threatening_dr_miss,primary,4,expected_grade,1.759459995993373,1.759459995993373,1,5268,1332,318,73,878,222
42,vision_threatening_dr_miss,primary,4,expected_gap,0.8339424922020401,0.8339424922020401,1,5268,1332,318,73,878,222
42,vision_threatening_dr_miss,primary,4,top2_more_severe,0.05816406498860571,0.05816406498860571,1,5268,1332,318,73,878,222
42,vision_threatening_dr_miss,primary,4,pred_le_2,1.5264296318116077,1.5264296318116077,1,5268,1332,318,73,878,222
42,vision_threatening_dr_miss,primary,4,gated_severe_prob_mass,0.4757392772047506,0.4757392772047506,1,5268,1332,318,73,878,222
42,vision_threatening_dr_miss,primary,4,top2_more_severe_conf,0.04439855972980696,0.04439855972980696,1,5268,1332,318,73,878,222
42,vision_threatening_dr_miss,primary,5,confidence,-0.0010753978230727134,0.0010753978230727134,-1,5274,1326,291,100,879,221
42,vision_threatening_dr_miss,primary,5,margin,-0.06906157186412014,0.06906157186412014,-1,5274,1326,291,100,879,221
42,vision_threatening_dr_miss,primary,5,entropy_norm,-0.342049758265715,0.342049758265715,-1,5274,1326,291,100,879,221
42,vision_threatening_dr_miss,primary,5,pred_grade,0.9836209190136902,0.9836209190136902,1,5274,1326,291,100,879,221
