target,target_role,feature,n_folds,coef_mean,coef_median,coef_q25,coef_q75,coef_iqr,abs_coef_mean,abs_coef_median,abs_coef_q25,abs_coef_q75,positive_rate,negative_rate,zero_rate,sign_consistency,abs_coef_rank_by_target
dangerous_undergrading,secondary,top2_more_severe,5,0.09897808372842001,0.1148135417314284,0.09649242682901484,0.1226018626043306,0.02610943577531577,0.10761880707444985,0.1148135417314284,0.09649242682901484,0.1226018626043306,0.8,0.2,0.0,0.8,12
dangerous_undergrading,secondary,margin,5,-0.019308885688720544,-0.04006221911046155,-0.0410526844375832,0.00691551997367029,0.04796820441125349,0.04184761893065958,0.0410526844375832,0.04006221911046155,0.04943131313117731,0.4,0.6,0.0,0.6,13
large_undergrading,primary,pred_le_2,5,1.1618531471803124,1.1380900217689924,1.1290951322189224,1.1935665838939054,0.06447145167498292,1.1618531471803124,1.1380900217689924,1.1290951322189224,1.1935665838939054,1.0,0.0,0.0,1.0,1
large_undergrading,primary,severe_prob_mass,5,-1.126257632408922,-1.1174487165625744,-1.1879677260886452,-1.1082806188114336,0.07968710727721162,1.126257632408922,1.1174487165625744,1.1082806188114336,1.1879677260886452,0.0,1.0,0.0,1.0,2
large_undergrading,primary,expected_gap,5,0.9582706155910335,0.9834388706561568,0.8914502637371963,1.0208122932080579,0.12936202947086162,0.9582706155910335,0.9834388706561568,0.8914502637371963,1.0208122932080579,1.0,0.0,0.0,1.0,3
large_undergrading,primary,expected_grade,5,0.947488937206684,0.9579720901704,0.8705198721726863,1.053476825232142,0.1829569530594557,0.947488937206684,0.9579720901704,0.8705198721726863,1.053476825232142,1.0,0.0,0.0,1.0,4
large_undergrading,primary,pred_grade,5,0.5656695543530491,0.5577915662526778,0.5471482290970837,0.6126180009334556,0.06546977183637193,0.5656695543530491,0.5577915662526778,0.5471482290970837,0.6126180009334556,1.0,0.0,0.0,1.0,5
large_undergrading,primary,top2_more_severe_conf,5,0.3670471665492151,0.33772156986620633,0.3206702500894057,0.3474966447348906,0.02682639464548492,0.3670471665492151,0.33772156986620633,0.3206702500894057,0.3474966447348906,1.0,0.0,0.0,1.0,6
large_undergrading,primary,confidence,5,-0.08688166667714675,-0.15928306900217037,-0.1658347326378557,0.06516160524512958,0.2309963378829853,0.14644510529180382,0.15928306900217037,0.08374699129151303,0.1658347326378557,0.4,0.6,0.0,0.6,7
large_undergrading,primary,top2_confidence,5,0.032426439277997446,0.010299768865470215,-0.00596352565118891,0.12256306079516446,0.12852658644635337,0.11286772089149755,0.12256306079516446,0.010299768865470215,0.19513967838256135,0.6,0.4,0.0,0.6,8
large_undergrading,primary,top2_more_severe,5,-0.09153836629132614,-0.10444101937803206,-0.13464659802378992,-0.07588936696929151,0.05875723105449841,0.12354134276675892,0.10444101937803206,0.08000744118858198,0.13464659802378992,0.2,0.8,0.0,0.8,9
large_undergrading,primary,entropy_norm,5,-0.13698890583816944,-0.0977074044113958,-0.22893075204589966,-0.09058412378623484,0.13834662825966482,0.13698890583816944,0.0977074044113958,0.09058412378623484,0.22893075204589966,0.0,1.0,0.0,1.0,10
large_undergrading,primary,gated_severe_prob_mass,5,0.11967898172358235,0.09453954006066095,0.06468805786636132,0.18334894856051895,0.11866089069415763,0.11967898172358235,0.09453954006066095,0.06468805786636132,0.18334894856051895,1.0,0.0,0.0,1.0,11
large_undergrading,primary,margin,5,-0.06747716593262985,-0.08883959157249169,-0.10305509604208084,-0.034962297030742384,0.06809279901133845,0.06747716593262985,0.08883959157249169,0.034962297030742384,0.10305509604208084,0.0,1.0,0.0,1.0,12
large_undergrading,primary,top2_grade,5,-0.06000072785831747,-0.04181316358762805,-0.07176742997637701,-0.024615776797166748,0.047151653179210266,0.06000072785831747,0.04181316358762805,0.024615776797166748,0.07176742997637701,0.0,1.0,0.0,1.0,13
vision_threatening_dr_miss,primary,pred_le_2,5,1.4575098034356007,1.4564298742878976,1.4357626326974564,1.4720418500725396,0.03627921737508322,1.4575098034356007,1.4564298742878976,1.4357626326974564,1.4720418500725396,1.0,0.0,0.0,1.0,1
vision_threatening_dr_miss,primary,expected_grade,5,1.4000830164550666,1.296334997433959,1.2470168846207188,1.482621927524291,0.2356050429035721,1.4000830164550666,1.296334997433959,1.2470168846207188,1.482621927524291,1.0,0.0,0.0,1.0,2
vision_threatening_dr_miss,primary,severe_prob_mass,5,-1.2108336104380277,-1.169147805623752,-1.2160271760094723,-1.1581231878256018,0.05790398818387055,1.2108336104380277,1.169147805623752,1.1581231878256018,1.2160271760094723,0.0,1.0,0.0,1.0,3
vision_threatening_dr_miss,primary,pred_grade,5,1.0793098100260097,0.9836209190136902,0.9706549225117885,1.1656038585683497,0.19494893605656116,1.0793098100260097,0.9836209190136902,0.9706549225117885,1.1656038585683497,1.0,0.0,0.0,1.0,4
vision_threatening_dr_miss,primary,expected_gap,5,0.6145371509903439,0.5929590745295695,0.5843480750430919,0.6135131250197322,0.029165049976640267,0.6145371509903439,0.5929590745295695,0.5843480750430919,0.6135131250197322,1.0,0.0,0.0,1.0,5
vision_threatening_dr_miss,primary,gated_severe_prob_mass,5,0.5332173931741446,0.5446132152034099,0.4757392772047506,0.5731874163408494,0.09744813913609873,0.5332173931741446,0.5446132152034099,0.4757392772047506,0.5731874163408494,1.0,0.0,0.0,1.0,6
vision_threatening_dr_miss,primary,entropy_norm,5,-0.3994352579200064,-0.36570207534050414,-0.3970878349950755,-0.34609924036701245,0.050988594628063044,0.3994352579200064,0.36570207534050414,0.34609924036701245,0.3970878349950755,0.0,1.0,0.0,1.0,7
vision_threatening_dr_miss,primary,top2_more_severe_conf,5,0.207487893101946,0.18956563609612004,0.17048458011517187,0.31400680875144615,0.14352222863627428,0.207487893101946,0.18956563609612004,0.17048458011517187,0.31400680875144615,1.0,0.0,0.0,1.0,8
vision_threatening_dr_miss,primary,top2_confidence,5,0.1392899919524779,0.15402836737990216,0.14811368764312632,0.17174995496375275,0.02363626732062643,0.1392899919524779,0.15402836737990216,0.14811368764312632,0.17174995496375275,1.0,0.0,0.0,1.0,9
vision_threatening_dr_miss,primary,top2_more_severe,5,-0.01244558164446712,-0.11121980589031616,-0.11386315703359903,0.05816406498860571,0.17202722202220475,0.125646080672253,0.11386315703359903,0.11121980589031616,0.12014619286788511,0.4,0.6,0.0,0.6,10
vision_threatening_dr_miss,primary,confidence,5,-0.028804501345869437,-0.05240744539982789,-0.06995212527703548,-0.0010753978230727134,0.06887672745396277,0.061907917960362144,0.06995212527703548,0.05240744539982789,0.08275854153623179,0.2,0.8,0.0,0.8,11
vision_threatening_dr_miss,primary,margin,5,-0.07171405165355864,-0.06906157186412014,-0.10363332399139434,-0.05020840389319227,0.05342492009820207,0.07171405165355864,0.06906157186412014,0.05020840389319227,0.10363332399139434,0.0,1.0,0.0,1.0,12
vision_threatening_dr_miss,primary,top2_grade,5,-0.030960709575190502,-0.001838207572745588,-0.03710219439480277,0.05832198839419906,0.09542418278900183,0.0991852753672059,0.05832198839419906,0.03710219439480277,0.11223942608583944,0.4,0.6,0.0,0.6,13
