seed,target,target_role,backbone,ranking_method,review_budget,n_records,reviewed_n,total_dangerous,captured,residual,recall,precision,lift
43,large_undergrading,primary,convnext_tiny,expected_gap_only,0.2,1100,220,50,42,8,0.84,0.19090909090909092,4.2
43,large_undergrading,primary,convnext_tiny,gated_severe_prob_mass_only,0.2,1100,220,50,33,17,0.66,0.15,3.3
43,large_undergrading,primary,convnext_tiny,top2_more_severe_only,0.2,1100,220,50,38,12,0.76,0.17272727272727273,3.8
43,large_undergrading,primary,convnext_tiny,ophagent_combined,0.2,1100,220,50,31,19,0.62,0.1409090909090909,3.0999999999999996
43,large_undergrading,primary,convnext_tiny,margin_only,0.2,1100,220,50,24,26,0.48,0.10909090909090909,2.4
43,large_undergrading,primary,retfound_official_like,learned_logistic,0.2,1100,220,37,23,14,0.6216216216216216,0.10454545454545454,3.108108108108108
43,large_undergrading,primary,retfound_official_like,expected_gap_only,0.2,1100,220,37,26,11,0.7027027027027027,0.11818181818181818,3.513513513513513
43,large_undergrading,primary,retfound_official_like,gated_severe_prob_mass_only,0.2,1100,220,37,23,14,0.6216216216216216,0.10454545454545454,3.108108108108108
43,large_undergrading,primary,retfound_official_like,top2_more_severe_only,0.2,1100,220,37,23,14,0.6216216216216216,0.10454545454545454,3.108108108108108
43,large_undergrading,primary,retfound_official_like,ophagent_combined,0.2,1100,220,37,21,16,0.5675675675675675,0.09545454545454546,2.8378378378378377
43,large_undergrading,primary,retfound_official_like,margin_only,0.2,1100,220,37,16,21,0.43243243243243246,0.07272727272727272,2.162162162162162
43,large_undergrading,primary,swin_tiny,learned_logistic,0.2,1100,220,37,21,16,0.5675675675675675,0.09545454545454546,2.8378378378378377
43,large_undergrading,primary,swin_tiny,expected_gap_only,0.2,1100,220,37,24,13,0.6486486486486487,0.10909090909090909,3.243243243243243
43,large_undergrading,primary,swin_tiny,gated_severe_prob_mass_only,0.2,1100,220,37,28,9,0.7567567567567568,0.12727272727272726,3.7837837837837833
43,large_undergrading,primary,swin_tiny,top2_more_severe_only,0.2,1100,220,37,24,13,0.6486486486486487,0.10909090909090909,3.243243243243243
43,large_undergrading,primary,swin_tiny,ophagent_combined,0.2,1100,220,37,19,18,0.5135135135135135,0.08636363636363636,2.5675675675675675
43,large_undergrading,primary,swin_tiny,margin_only,0.2,1100,220,37,16,21,0.43243243243243246,0.07272727272727272,2.162162162162162
43,large_undergrading,primary,vit_b_imagenet,learned_logistic,0.2,1100,220,43,27,16,0.627906976744186,0.12272727272727273,3.13953488372093
43,large_undergrading,primary,vit_b_imagenet,expected_gap_only,0.2,1100,220,43,27,16,0.627906976744186,0.12272727272727273,3.13953488372093
43,large_undergrading,primary,vit_b_imagenet,gated_severe_prob_mass_only,0.2,1100,220,43,24,19,0.5581395348837209,0.10909090909090909,2.7906976744186043
