backbone,ranking_method,clinical_event,review_budget,reviewed_n,auto_released_n,dangerous_error_total,dangerous_error_captured,dangerous_error_recall_at_k,dangerous_error_precision_at_k,dangerous_error_lift_vs_random,residual_dangerous_error_count,residual_dangerous_error_rate,dangerous_errors_per_100_reviewed,number_needed_to_review
swin_tiny,expected_grade_only,any_undergrading,0.05,55,1045,118,0,0.0,0.0,0.0,118,0.11291866028708133,0.0,
swin_tiny,expected_grade_only,any_undergrading,0.1,110,990,118,18,0.15254237288135594,0.16363636363636364,1.5254237288135593,100,0.10101010101010101,16.363636363636363,6.111111111111111
swin_tiny,expected_grade_only,any_undergrading,0.2,220,880,118,45,0.3813559322033898,0.20454545454545456,1.9067796610169494,73,0.08295454545454546,20.454545454545457,4.888888888888888
swin_tiny,expected_grade_only,any_undergrading,0.3,330,770,118,58,0.4915254237288136,0.17575757575757575,1.6384180790960452,60,0.07792207792207792,17.575757575757574,5.689655172413794
swin_tiny,expected_grade_only,large_undergrading,0.05,55,1045,37,0,0.0,0.0,0.0,37,0.0354066985645933,0.0,
swin_tiny,expected_grade_only,large_undergrading,0.1,110,990,37,4,0.10810810810810811,0.03636363636363636,1.081081081081081,33,0.03333333333333333,3.6363636363636362,27.5
swin_tiny,expected_grade_only,large_undergrading,0.2,220,880,37,18,0.4864864864864865,0.08181818181818182,2.4324324324324325,19,0.02159090909090909,8.181818181818182,12.222222222222221
swin_tiny,expected_grade_only,large_undergrading,0.3,330,770,37,24,0.6486486486486487,0.07272727272727272,2.162162162162162,13,0.016883116883116882,7.2727272727272725,13.75
swin_tiny,expected_grade_only,referable_dr_miss,0.05,55,1045,38,0,0.0,0.0,0.0,38,0.03636363636363636,0.0,
swin_tiny,expected_grade_only,referable_dr_miss,0.1,110,990,38,0,0.0,0.0,0.0,38,0.03838383838383838,0.0,
swin_tiny,expected_grade_only,referable_dr_miss,0.2,220,880,38,0,0.0,0.0,0.0,38,0.04318181818181818,0.0,
swin_tiny,expected_grade_only,referable_dr_miss,0.3,330,770,38,0,0.0,0.0,0.0,38,0.04935064935064935,0.0,
swin_tiny,expected_grade_only,vision_threatening_dr_miss,0.05,55,1045,62,0,0.0,0.0,0.0,62,0.05933014354066986,0.0,
swin_tiny,expected_grade_only,vision_threatening_dr_miss,0.1,110,990,62,7,0.11290322580645161,0.06363636363636363,1.129032258064516,55,0.05555555555555555,6.363636363636363,15.714285714285715
swin_tiny,expected_grade_only,vision_threatening_dr_miss,0.2,220,880,62,34,0.5483870967741935,0.15454545454545454,2.7419354838709675,28,0.031818181818181815,15.454545454545453,6.470588235294118
swin_tiny,expected_grade_only,vision_threatening_dr_miss,0.3,330,770,62,47,0.7580645161290323,0.14242424242424243,2.5268817204301075,15,0.01948051948051948,14.242424242424242,7.0212765957446805
swin_tiny,expected_grade_only,high_confidence_vision_threatening_miss,0.05,55,1045,50,0,0.0,0.0,0.0,50,0.04784688995215311,0.0,
swin_tiny,expected_grade_only,high_confidence_vision_threatening_miss,0.1,110,990,50,0,0.0,0.0,0.0,50,0.050505050505050504,0.0,
swin_tiny,expected_grade_only,high_confidence_vision_threatening_miss,0.2,220,880,50,24,0.48,0.10909090909090909,2.4,26,0.029545454545454545,10.909090909090908,9.166666666666668
swin_tiny,expected_grade_only,high_confidence_vision_threatening_miss,0.3,330,770,50,37,0.74,0.11212121212121212,2.466666666666667,13,0.016883116883116882,11.212121212121213,8.91891891891892
swin_tiny,expected_gap_only,general_error,0.05,55,1045,188,30,0.1595744680851064,0.5454545454545454,3.1914893617021276,158,0.15119617224880383,54.54545454545454,1.8333333333333335
swin_tiny,expected_gap_only,general_error,0.1,110,990,188,56,0.2978723404255319,0.509090909090909,2.978723404255319,132,0.13333333333333333,50.90909090909091,1.9642857142857144
swin_tiny,expected_gap_only,general_error,0.2,220,880,188,88,0.46808510638297873,0.4,2.3404255319148937,100,0.11363636363636363,40.0,2.5
swin_tiny,expected_gap_only,general_error,0.3,330,770,188,106,0.5638297872340425,0.3212121212121212,1.8794326241134753,82,0.10649350649350649,32.121212121212125,3.1132075471698113
swin_tiny,expected_gap_only,any_undergrading,0.05,55,1045,118,29,0.2457627118644068,0.5272727272727272,4.915254237288135,89,0.08516746411483253,52.72727272727272,1.8965517241379313
swin_tiny,expected_gap_only,any_undergrading,0.1,110,990,118,52,0.4406779661016949,0.4727272727272727,4.406779661016949,66,0.06666666666666667,47.27272727272727,2.1153846153846154
swin_tiny,expected_gap_only,any_undergrading,0.2,220,880,118,80,0.6779661016949152,0.36363636363636365,3.3898305084745766,38,0.04318181818181818,36.36363636363637,2.75
swin_tiny,expected_gap_only,any_undergrading,0.3,330,770,118,95,0.8050847457627118,0.2878787878787879,2.68361581920904,23,0.02987012987012987,28.78787878787879,3.4736842105263155
swin_tiny,expected_gap_only,large_undergrading,0.05,55,1045,37,10,0.2702702702702703,0.18181818181818182,5.405405405405405,27,0.02583732057416268,18.181818181818183,5.5
swin_tiny,expected_gap_only,large_undergrading,0.1,110,990,37,15,0.40540540540540543,0.13636363636363635,4.0540540540540535,22,0.022222222222222223,13.636363636363635,7.333333333333334
swin_tiny,expected_gap_only,large_undergrading,0.2,220,880,37,24,0.6486486486486487,0.10909090909090909,3.243243243243243,13,0.014772727272727272,10.909090909090908,9.166666666666668
swin_tiny,expected_gap_only,large_undergrading,0.3,330,770,37,29,0.7837837837837838,0.08787878787878788,2.6126126126126126,8,0.01038961038961039,8.787878787878787,11.379310344827587
swin_tiny,expected_gap_only,referable_dr_miss,0.05,55,1045,38,13,0.34210526315789475,0.23636363636363636,6.842105263157895,25,0.023923444976076555,23.636363636363637,4.230769230769231
swin_tiny,expected_gap_only,referable_dr_miss,0.1,110,990,38,22,0.5789473684210527,0.2,5.7894736842105265,16,0.01616161616161616,20.0,5.0
swin_tiny,expected_gap_only,referable_dr_miss,0.2,220,880,38,34,0.8947368421052632,0.15454545454545454,4.473684210526316,4,0.004545454545454545,15.454545454545453,6.470588235294118
swin_tiny,expected_gap_only,referable_dr_miss,0.3,330,770,38,36,0.9473684210526315,0.10909090909090909,3.157894736842105,2,0.0025974025974025974,10.909090909090908,9.166666666666668
swin_tiny,expected_gap_only,vision_threatening_dr_miss,0.05,55,1045,62,11,0.1774193548387097,0.2,3.5483870967741935,51,0.04880382775119617,20.0,5.0
swin_tiny,expected_gap_only,vision_threatening_dr_miss,0.1,110,990,62,24,0.3870967741935484,0.21818181818181817,3.8709677419354835,38,0.03838383838383838,21.818181818181817,4.583333333333334
swin_tiny,expected_gap_only,vision_threatening_dr_miss,0.2,220,880,62,37,0.5967741935483871,0.16818181818181818,2.9838709677419355,25,0.028409090909090908,16.818181818181817,5.945945945945946
swin_tiny,expected_gap_only,vision_threatening_dr_miss,0.3,330,770,62,48,0.7741935483870968,0.14545454545454545,2.5806451612903225,14,0.01818181818181818,14.545454545454545,6.875
swin_tiny,expected_gap_only,high_confidence_vision_threatening_miss,0.05,55,1045,50,2,0.04,0.03636363636363636,0.7999999999999999,48,0.045933014354066985,3.6363636363636362,27.5
swin_tiny,expected_gap_only,high_confidence_vision_threatening_miss,0.1,110,990,50,13,0.26,0.11818181818181818,2.6,37,0.03737373737373737,11.818181818181818,8.461538461538462
swin_tiny,expected_gap_only,high_confidence_vision_threatening_miss,0.2,220,880,50,26,0.52,0.11818181818181818,2.6,24,0.02727272727272727,11.818181818181818,8.461538461538462
swin_tiny,expected_gap_only,high_confidence_vision_threatening_miss,0.3,330,770,50,37,0.74,0.11212121212121212,2.466666666666667,13,0.016883116883116882,11.212121212121213,8.91891891891892
swin_tiny,top2_more_severe_only,general_error,0.05,55,1045,188,31,0.16489361702127658,0.5636363636363636,3.297872340425532,157,0.15023923444976076,56.36363636363636,1.774193548387097
swin_tiny,top2_more_severe_only,general_error,0.1,110,990,188,56,0.2978723404255319,0.509090909090909,2.978723404255319,132,0.13333333333333333,50.90909090909091,1.9642857142857144
swin_tiny,top2_more_severe_only,general_error,0.2,220,880,188,92,0.48936170212765956,0.41818181818181815,2.4468085106382977,96,0.10909090909090909,41.81818181818181,2.391304347826087
swin_tiny,top2_more_severe_only,general_error,0.3,330,770,188,101,0.5372340425531915,0.30606060606060603,1.7907801418439715,87,0.11298701298701298,30.606060606060602,3.2673267326732676
swin_tiny,top2_more_severe_only,any_undergrading,0.05,55,1045,118,29,0.2457627118644068,0.5272727272727272,4.915254237288135,89,0.08516746411483253,52.72727272727272,1.8965517241379313
swin_tiny,top2_more_severe_only,any_undergrading,0.1,110,990,118,53,0.4491525423728814,0.4818181818181818,4.491525423728814,65,0.06565656565656566,48.18181818181818,2.0754716981132075
swin_tiny,top2_more_severe_only,any_undergrading,0.2,220,880,118,83,0.7033898305084746,0.37727272727272726,3.516949152542373,35,0.03977272727272727,37.72727272727273,2.6506024096385543
swin_tiny,top2_more_severe_only,any_undergrading,0.3,330,770,118,92,0.7796610169491526,0.2787878787878788,2.598870056497175,26,0.033766233766233764,27.878787878787882,3.5869565217391304
