backbone,ranking_method,clinical_event,review_budget,reviewed_n,auto_released_n,dangerous_error_total,dangerous_error_captured,dangerous_error_recall_at_k,dangerous_error_precision_at_k,dangerous_error_lift_vs_random,residual_dangerous_error_count,residual_dangerous_error_rate,dangerous_errors_per_100_reviewed,number_needed_to_review
retfound_official_like,gated_severe_prob_mass_only,general_error,0.05,55,1045,216,24,0.1111111111111111,0.43636363636363634,2.2222222222222223,192,0.18373205741626794,43.63636363636363,2.291666666666667
swin_tiny,top2_more_severe_only,general_error,0.05,55,1045,188,31,0.16489361702127658,0.5636363636363636,3.297872340425532,157,0.15023923444976076,56.36363636363636,1.774193548387097
vit_b_imagenet,top2_more_severe_only,general_error,0.05,55,1045,200,29,0.145,0.5272727272727272,2.8999999999999995,171,0.16363636363636364,52.72727272727272,1.8965517241379313
vit_b_official_like,expected_gap_only,general_error,0.05,55,1045,221,34,0.15384615384615385,0.6181818181818182,3.076923076923077,187,0.17894736842105263,61.81818181818181,1.6176470588235294
vit_l_official_like,ophagent_combined,general_error,0.05,55,1045,219,25,0.1141552511415525,0.45454545454545453,2.28310502283105,194,0.18564593301435406,45.45454545454545,2.2
convnext_tiny,expected_gap_only,general_error,0.1,110,990,205,59,0.28780487804878047,0.5363636363636364,2.8780487804878048,146,0.14747474747474748,53.63636363636364,1.8644067796610169
retfound_official_like,expected_grade_only,general_error,0.1,110,990,216,51,0.2361111111111111,0.4636363636363636,2.361111111111111,165,0.16666666666666666,46.36363636363636,2.156862745098039
swin_tiny,expected_gap_only,general_error,0.1,110,990,188,56,0.2978723404255319,0.509090909090909,2.978723404255319,132,0.13333333333333333,50.90909090909091,1.9642857142857144
vit_b_imagenet,ophagent_combined,general_error,0.1,110,990,200,53,0.265,0.4818181818181818,2.65,147,0.1484848484848485,48.18181818181818,2.0754716981132075
vit_b_official_like,expected_gap_only,general_error,0.1,110,990,221,58,0.26244343891402716,0.5272727272727272,2.6244343891402715,163,0.16464646464646465,52.72727272727272,1.8965517241379313
vit_l_official_like,expected_grade_only,general_error,0.1,110,990,219,53,0.2420091324200913,0.4818181818181818,2.420091324200913,166,0.16767676767676767,48.18181818181818,2.0754716981132075
convnext_tiny,expected_gap_only,general_error,0.2,220,880,205,106,0.5170731707317073,0.4818181818181818,2.5853658536585367,99,0.1125,48.18181818181818,2.0754716981132075
retfound_official_like,severe_prob_mass_only,general_error,0.2,220,880,216,97,0.44907407407407407,0.4409090909090909,2.2453703703703707,119,0.13522727272727272,44.09090909090909,2.268041237113402
swin_tiny,ophagent_combined,general_error,0.2,220,880,188,106,0.5638297872340425,0.4818181818181818,2.8191489361702127,82,0.09318181818181819,48.18181818181818,2.0754716981132075
vit_b_imagenet,ophagent_combined,general_error,0.2,220,880,200,103,0.515,0.4681818181818182,2.575,97,0.11022727272727273,46.81818181818182,2.1359223300970873
vit_b_official_like,severe_prob_mass_only,general_error,0.2,220,880,221,99,0.4479638009049774,0.45,2.239819004524887,122,0.13863636363636364,45.0,2.2222222222222223
vit_l_official_like,severe_prob_mass_only,general_error,0.2,220,880,219,102,0.4657534246575342,0.4636363636363636,2.328767123287671,117,0.13295454545454546,46.36363636363636,2.156862745098039
convnext_tiny,ophagent_combined,general_error,0.3,330,770,205,133,0.6487804878048781,0.403030303030303,2.16260162601626,72,0.09350649350649351,40.303030303030305,2.481203007518797
retfound_official_like,severe_prob_mass_only,general_error,0.3,330,770,216,121,0.5601851851851852,0.36666666666666664,1.867283950617284,95,0.12337662337662338,36.666666666666664,2.7272727272727275
swin_tiny,ophagent_combined,general_error,0.3,330,770,188,141,0.75,0.42727272727272725,2.5,47,0.06103896103896104,42.72727272727273,2.3404255319148937
vit_b_imagenet,ophagent_combined,general_error,0.3,330,770,200,146,0.73,0.44242424242424244,2.4333333333333336,54,0.07012987012987013,44.24242424242424,2.2602739726027394
vit_b_official_like,ophagent_combined,general_error,0.3,330,770,221,143,0.6470588235294118,0.43333333333333335,2.1568627450980395,78,0.1012987012987013,43.333333333333336,2.3076923076923075
vit_l_official_like,severe_prob_mass_only,general_error,0.3,330,770,219,127,0.5799086757990868,0.38484848484848483,1.933028919330289,92,0.11948051948051948,38.484848484848484,2.598425196850394
convnext_tiny,expected_gap_only,high_confidence_vision_threatening_miss,0.05,55,1045,14,0,0.0,0.0,0.0,14,0.013397129186602871,0.0,
retfound_official_like,expected_gap_only,high_confidence_vision_threatening_miss,0.05,55,1045,2,0,0.0,0.0,0.0,2,0.0019138755980861245,0.0,
swin_tiny,gated_severe_prob_mass_only,high_confidence_vision_threatening_miss,0.05,55,1045,50,11,0.22,0.2,4.4,39,0.03732057416267943,20.0,5.0
vit_b_imagenet,gated_severe_prob_mass_only,high_confidence_vision_threatening_miss,0.05,55,1045,37,4,0.10810810810810811,0.07272727272727272,2.162162162162162,33,0.031578947368421054,7.2727272727272725,13.75
vit_b_official_like,expected_gap_only,high_confidence_vision_threatening_miss,0.05,55,1045,12,1,0.08333333333333333,0.01818181818181818,1.6666666666666665,11,0.010526315789473684,1.8181818181818181,55.0
vit_l_official_like,expected_gap_only,high_confidence_vision_threatening_miss,0.05,55,1045,5,0,0.0,0.0,0.0,5,0.004784688995215311,0.0,
convnext_tiny,gated_severe_prob_mass_only,high_confidence_vision_threatening_miss,0.1,110,990,14,2,0.14285714285714285,0.01818181818181818,1.4285714285714284,12,0.012121212121212121,1.8181818181818181,55.0
retfound_official_like,expected_gap_only,high_confidence_vision_threatening_miss,0.1,110,990,2,0,0.0,0.0,0.0,2,0.00202020202020202,0.0,
swin_tiny,gated_severe_prob_mass_only,high_confidence_vision_threatening_miss,0.1,110,990,50,21,0.42,0.19090909090909092,4.2,29,0.029292929292929294,19.090909090909093,5.238095238095238
vit_b_imagenet,gated_severe_prob_mass_only,high_confidence_vision_threatening_miss,0.1,110,990,37,15,0.40540540540540543,0.13636363636363635,4.0540540540540535,22,0.022222222222222223,13.636363636363635,7.333333333333334
vit_b_official_like,expected_gap_only,high_confidence_vision_threatening_miss,0.1,110,990,12,1,0.08333333333333333,0.00909090909090909,0.8333333333333333,11,0.011111111111111112,0.9090909090909091,110.0
vit_l_official_like,expected_gap_only,high_confidence_vision_threatening_miss,0.1,110,990,5,0,0.0,0.0,0.0,5,0.005050505050505051,0.0,
convnext_tiny,gated_severe_prob_mass_only,high_confidence_vision_threatening_miss,0.2,220,880,14,8,0.5714285714285714,0.03636363636363636,2.8571428571428568,6,0.006818181818181818,3.6363636363636362,27.5
retfound_official_like,expected_gap_only,high_confidence_vision_threatening_miss,0.2,220,880,2,0,0.0,0.0,0.0,2,0.0022727272727272726,0.0,
swin_tiny,gated_severe_prob_mass_only,high_confidence_vision_threatening_miss,0.2,220,880,50,35,0.7,0.1590909090909091,3.5,15,0.017045454545454544,15.909090909090908,6.285714285714286
vit_b_imagenet,gated_severe_prob_mass_only,high_confidence_vision_threatening_miss,0.2,220,880,37,25,0.6756756756756757,0.11363636363636363,3.378378378378378,12,0.013636363636363636,11.363636363636363,8.8
vit_b_official_like,expected_gap_only,high_confidence_vision_threatening_miss,0.2,220,880,12,1,0.08333333333333333,0.004545454545454545,0.41666666666666663,11,0.0125,0.45454545454545453,220.0
vit_l_official_like,expected_gap_only,high_confidence_vision_threatening_miss,0.2,220,880,5,0,0.0,0.0,0.0,5,0.005681818181818182,0.0,
convnext_tiny,expected_grade_only,high_confidence_vision_threatening_miss,0.3,330,770,14,11,0.7857142857142857,0.03333333333333333,2.619047619047619,3,0.003896103896103896,3.3333333333333335,30.0
retfound_official_like,expected_gap_only,high_confidence_vision_threatening_miss,0.3,330,770,2,0,0.0,0.0,0.0,2,0.0025974025974025974,0.0,
swin_tiny,gated_severe_prob_mass_only,high_confidence_vision_threatening_miss,0.3,330,770,50,45,0.9,0.13636363636363635,2.9999999999999996,5,0.006493506493506494,13.636363636363635,7.333333333333334
vit_b_imagenet,gated_severe_prob_mass_only,high_confidence_vision_threatening_miss,0.3,330,770,37,30,0.8108108108108109,0.09090909090909091,2.7027027027027026,7,0.00909090909090909,9.090909090909092,11.0
vit_b_official_like,gated_severe_prob_mass_only,high_confidence_vision_threatening_miss,0.3,330,770,12,7,0.5833333333333334,0.021212121212121213,1.9444444444444444,5,0.006493506493506494,2.1212121212121215,47.14285714285714
vit_l_official_like,gated_severe_prob_mass_only,high_confidence_vision_threatening_miss,0.3,330,770,5,3,0.6,0.00909090909090909,2.0,2,0.0025974025974025974,0.9090909090909091,110.0
convnext_tiny,expected_gap_only,large_undergrading,0.05,55,1045,50,16,0.32,0.2909090909090909,6.3999999999999995,34,0.03253588516746411,29.09090909090909,3.4375
